,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,Fair Value
132,"Pluralsight, Inc. (16)",Online education learning platform,First lien senior secured loan ($106.2 par due 04/2027),9.00% (LIBOR + 8.00%/Q),4/6/2021,106.2,106.2
133,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",0,6/25/2015,0.1,0.0
134,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC",Software provider for medical practitioners,"Class A units (11,804,000 units)",8.00% PIK,3/31/2021,0.0,8.2
135,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (16)",Provider of practice management software to law firms,First lien senior secured loan ($3.9 par due 03/2027),6.25% (LIBOR + 5.25%/M),3/5/2021,3.9,3.9
136,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (16)",Provider of practice management software to law firms,"Limited partnership units (1,624,000 units)",0,3/5/2021,1.6,1.6
137,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common stock (7,445 shares)",0,8/22/2016,7.4,16.6
138,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class B common stock (1,841,609 shares)",0,8/22/2016,0.1,0.2
139,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (16)",Saas provider of automated crew callout and scheduling software for the utility industry,First lien senior secured loan ($36.5 par due 04/2028),6.75% (LIBOR + 5.75%/Q),4/20/2021,36.5,35.7
140,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (16)",Saas provider of automated crew callout and scheduling software for the utility industry,"Preferred shares (26,436 shares)",10.50% PIK (LIBOR + 9.50%/Q),4/20/2021,29.2,29.2
141,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($0.8 par due 04/2026),9.50% (Base Rate + 6.00%/Q),4/23/2020,0.7,0.8
142,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($44.0 par due 04/2027),8.00% (LIBOR + 7.00%/M),4/23/2020,44.0,44.0
143,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($12.9 par due 04/2027),8.00% (LIBOR + 7.00%/M),10/30/2020,12.9,12.9
144,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($14.4 par due 04/2027),8.00% (LIBOR + 7.00%/M),11/18/2020,14.4,14.4
145,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($4.9 par due 04/2027),8.00% (LIBOR + 7.00%/M),11/18/2020,4.9,4.9
146,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.9,1.9
147,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,"Class B units (588,636 units)",0,4/23/2020,0.0,0.5
148,"Proofpoint, Inc. (16)",Cybersecurity solutions provider,First lien senior secured loan ($1.0 par due 08/2028),3.76% (LIBOR + 3.25%/Q),6/9/2021,0.9,1.0
149,"Proofpoint, Inc. (16)",Cybersecurity solutions provider,Second lien senior secured loan ($34.6 par due 08/2029),6.76% (LIBOR + 6.25%/Q),6/9/2021,34.4,34.6
150,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured loan ($8.1 par due 12/2027),7.25% (LIBOR + 6.25%/Q),12/15/2021,8.1,8.1
151,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured loan ($6.8 par due 12/2027),7.54% (LIBOR + 6.25%/S),9/19/2019,6.8,6.8
152,"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($8.5 par due 10/2028),7.01% (LIBOR + 6.00%/Q),10/5/2021,8.5,8.4
153,"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,"Class A common units (2,880,582 units)",0,12/17/2018,3.5,5.4
154,"RealPage, Inc.",Provider of enterprise software solutions to the residential real estate industry,Second lien senior secured loan ($84.1 par due 04/2029),7.25% (LIBOR + 6.50%/M),4/22/2021,82.9,84.1
155,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",0,12/23/2016,0.0,0.0
156,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,Warrant to purchase up to 987 shares of common stock (expires 12/2026),0,12/23/2016,0.0,0.0
157,Relativity ODA LLC (16),Electronic discovery document review software platform for use in litigations and investigations,First lien senior secured loan ($60.7 par due 05/2027),7.50% PIK (LIBOR + 6.50%/M),5/12/2021,60.0,60.7
158,"RMS HoldCo II, LLC & RMS Group Holdings, Inc. (16)","Developer of revenue cycle management solutions, process automation, analytics and integration for the healthcare industry",First lien senior secured loan ($23.4 par due 12/2027),6.76% (LIBOR + 5.75%/Q),12/16/2021,23.4,23.2
159,"RMS HoldCo II, LLC & RMS Group Holdings, Inc. (16)","Developer of revenue cycle management solutions, process automation, analytics and integration for the healthcare industry",Class A common stock (464.9 shares),0,12/16/2021,4.6,4.6
160,"Smarsh Inc. and Skywalker TopCo, LLC (16)",SaaS based communication archival service provider,First lien senior secured loan ($10.6 par due 02/2029),7.25% (SOFR + 6.50%/Q),2/18/2022,10.6,10.5
161,"Smarsh Inc. and Skywalker TopCo, LLC (16)",SaaS based communication archival service provider,"Common units (1,742,623 units)",0,11/20/2020,6.3,8.8
162,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",0,1/13/2016,0.0,0.0
163,"Sophia, L.P.",Provider of ERP software and services for higher education institutions,Second lien senior secured loan ($105.9 par due 10/2028),9.01% (LIBOR + 8.00%/Q),10/7/2020,105.9,105.9
164,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",0,8/15/2017,0.4,0.7
165,Stamps.com Inc.,Provider of mailing and shipping solutions,First lien senior secured loan ($147.9 par due 10/2028),6.50% (LIBOR + 5.75%/M),10/5/2021,147.9,144.9
166,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($10.3 par due 04/2029),7.50% (SOFR + 6.75%/M),3/2/2022,10.3,10.3
167,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($42.8 par due 04/2029),7.66% (LIBOR + 6.75%/Q),4/16/2021,42.8,42.8
168,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,"Limited partnership interests (614,950 interests)",0,4/16/2021,6.2,7.5
169,"Sundance Group Holdings, Inc. (16)",Provider of cloud-based document management and collaboration solutions,First lien senior secured revolving loan ($0.7 par due 07/2027),7.50% (LIBOR + 6.50%/Q),7/2/2021,0.6,0.7
170,"Sundance Group Holdings, Inc. (16)",Provider of cloud-based document management and collaboration solutions,First lien senior secured loan ($15.4 par due 07/2027),7.50% (LIBOR + 6.50%/Q),7/2/2021,15.2,15.4
171,"Tamarack Intermediate, L.L.C. and Tamarack Parent, L.L.C. (16)","Provider of environment, health, safety, and sustainability software",First lien senior secured loan ($55.3 par due 03/2028),6.50% (SOFR + 5.75%/Q),3/11/2022,55.3,54.8
172,"Tamarack Intermediate, L.L.C. and Tamarack Parent, L.L.C. (16)","Provider of environment, health, safety, and sustainability software","Class A-2 units (4,849 units)",0,3/11/2022,4.8,4.8
173,TCP Hawker Intermediate LLC (16),Workforce management solutions provider,First lien senior secured revolving loan ($0.1 par due 08/2025),6.50% (LIBOR + 5.50%/Q),8/30/2019,0.1,0.1
174,TCP Hawker Intermediate LLC (16),Workforce management solutions provider,First lien senior secured loan ($34.7 par due 08/2026),7.00% (LIBOR + 6.00%/Q),8/30/2019,34.7,34.7
175,TCP Hawker Intermediate LLC (16),Workforce management solutions provider,First lien senior secured loan ($6.6 par due 08/2026),6.50% (LIBOR + 5.50%/Q),12/1/2020,6.6,6.6
176,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (16)",Provider of cloud based HCM solutions for businesses,First lien senior secured revolving loan ($0.7 par due 05/2024),4.21% (LIBOR + 3.75%/M),5/3/2019,0.7,0.7
177,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (16)",Provider of cloud based HCM solutions for businesses,"Limited partnership interests (12,583,556 interests)",0,5/3/2019,12.6,14.4
178,Verscend Holding Corp. (16),Healthcare analytics solutions provider,First lien senior secured revolving loan,0,8/27/2018,0.0,0.0
179,"WebPT, Inc. (16)",Electronic medical record software provider,First lien senior secured loan ($48.1 par due 01/2028),7.75% (LIBOR + 6.75%/Q),8/28/2019,48.1,48.1
180,"Wellness AcquisitionCo, Inc. (16)","Provider of retail consumer insights and analytics for manufacturers and retailers in the natural, organic and specialty products industry",First lien senior secured loan ($2.0 par due 01/2027),6.50% (LIBOR + 5.50%/Q),1/20/2021,2.0,2.0
181,"WorkWave Intermediate II, LLC (16)",Provider of cloud-based field services and fleet management solutions,First lien senior secured loan ($62.8 par due 06/2027),8.00% PIK (SOFR + 7.25%/Q),6/29/2021,62.8,62.8
182,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(16)",Dental services provider,First lien senior secured revolving loan ($4.1 par due 06/2024),"11.50% (Base Rate + 3.00% Cash, 5.00% PIK/Q)",6/1/2021,4.1,4.1
183,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(16)",Dental services provider,First lien senior secured loan ($50.2 par due 06/2024),"10.00% (LIBOR + 4.00% Cash, 5.00% PIK/Q)",6/1/2021,50.2,50.2
184,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(16)",Dental services provider,"Class A common units (7,617,280 units)",0,6/1/2021,4.7,13.7
185,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,First lien senior secured revolving loan ($8.9 par due 09/2022),"7.50% (Base Rate + 3.50% Cash, 0.50% PIK/M)",9/28/2016,8.9,8.8
186,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,First lien senior secured revolving loan ($2.3 par due 09/2022),"5.75% (LIBOR + 4.25% Cash, 0.50% PIK/M)",9/28/2016,2.3,2.3
187,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,Second lien senior secured loan ($118.5 par due 03/2024),11.00% (LIBOR + 10.00%/Q),9/28/2016,98.4,106.7
188,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,"Membership units (3,000,000 units)",0,9/28/2016,3.0,0.0
189,"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest (A), LP (16)",Revenue cycle management provider to the physician practices and acute care hospitals,"Series A preferred stock (198,504 shares)",10.75% PIK,2/15/2022,201.1,201.1
190,"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest (A), LP (16)",Revenue cycle management provider to the physician practices and acute care hospitals,"Class A units (10,487,950 units)",0,2/15/2022,10.5,10.5
191,"Bambino Group Holdings, LLC",Dental services provider,"Class A preferred units (1,000,000 units)",0,12/21/2016,1.0,1.1
192,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($69.4 par due 07/2027),9.25% (LIBOR + 8.25%/Q),7/9/2019,69.4,69.4
193,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 07/2027),9.26% (LIBOR + 8.25%/Q),9/10/2019,12.7,12.7
194,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,"Class B common units (4,211 units)",0,7/9/2019,4.2,11.3
195,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured revolving loan,0,10/1/2018,0.0,0.0
196,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured loan ($33.9 par due 10/2025),5.96% (LIBOR + 5.50%/M),9/25/2018,33.7,33.2
197,"Center for Autism and Related Disorders, LLC (16)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($6.8 par due 11/2023),7.26% (LIBOR + 6.25%/Q),11/21/2018,6.8,6.0
198,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured revolving loan ($0.3 par due 02/2024),7.00% (LIBOR + 5.75%/Q),2/14/2018,0.3,0.3
199,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured loan ($0.3 par due 02/2024),7.00% (LIBOR + 5.75%/Q),2/14/2018,0.3,0.3
200,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($2.7 par due 09/2026),5.50% (LIBOR + 4.75%/Q),9/4/2019,2.7,2.7
201,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($35.1 par due 09/2026),5.50% (LIBOR + 4.75%/M),2/1/2022,35.1,35.1
202,"Crown CT Parent Inc., Crown CT HoldCo Inc. and Crown CT Management LLC (16)",Provider of medical devices and services for the treatment of positional plagiocephaly,First lien senior secured loan ($24.7 par due 03/2029),6.11% (LIBOR + 5.50%/Q),3/8/2022,24.7,24.5
203,"Crown CT Parent Inc., Crown CT HoldCo Inc. and Crown CT Management LLC (16)",Provider of medical devices and services for the treatment of positional plagiocephaly,Class A shares (176 shares),0,3/8/2022,1.8,1.8
204,"Crown CT Parent Inc., Crown CT HoldCo Inc. and Crown CT Management LLC (16)",Provider of medical devices and services for the treatment of positional plagiocephaly,Common units (28.46 units),0,3/8/2022,0.3,0.3
205,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,First lien senior secured revolving loan,0,10/31/2019,0.0,0.0
206,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,First lien senior secured loan ($39.2 par due 10/2025),7.25% (LIBOR + 6.25%/Q),10/31/2019,39.2,39.2
