,Company(1),Industry,,Investment,Interest(5)(10),Acquisition  Date,,Amortized  Cost,Fair Value
754,"Growing Family, Inc. and GFH Holdings, LLC(6)",0,0,"Senior secured loan ($6,498 par due 3/2013)","9.00% (Base Rate + 1.75% Cash, 4.00% PIK/M)",3/16/2007,0,6378.0,2859.0
755,"Growing Family, Inc. and GFH Holdings, LLC(6)",0,0,"Preferred stock (8,750 shares)",0,3/16/2007,0,0.0,0.0
756,"Growing Family, Inc. and GFH Holdings, LLC(6)",0,0,"Common stock (552,430 shares)",0,3/16/2007,0,872.0,0.0
757,"Growing Family, Inc. and GFH Holdings, LLC(6)",0,0,"Warrants to purchase up to 11,313,678 Class B units",0,3/16/2007,0,0.0,0.0
758,PODS Funding Corp.,Storage and warehousing,0,"Senior subordinated loan ($25,125 par due 6/2015)",15.00%,12/23/2009,0,25125.0,25125.0
759,PODS Funding Corp.,0,0,"Senior subordinated loan ($7,582 par due 12/2015)",16.64% PIK,12/23/2009,0,6290.0,7430.0
760,"United Road Towing, Inc.",Towing company,0,"Junior secured loan ($18,840 par due 1/2014)","14.75% (Libor + 11.25% Cash, 1.00% PIK/Q)",4/1/2010,0,18606.0,18840.0
761,"United Road Towing, Inc.",0,0,Warrants to purchase up to 607 shares,0,4/1/2010,0,0.0,4.0
762,"Web Services Company, LLC",Laundry service and equipment provider,0,"Senior secured loan ($4,888 par due 8/2014)",7.00% (Base Rate + 3.75%/Q),6/15/2009,0,4718.0,4888.0
763,"Web Services Company, LLC",0,0,"Senior subordinated loan ($13,563 par due 8/2016)","11.50% Cash, 2.50% PIK",8/29/2008,0,13563.0,13563.0
764,"Web Services Company, LLC",0,0,"Senior subordinated loan ($26,462 par due 8/2016)","11.50% Cash, 2.50% PIK",8/29/2008,0,26462.0,26462.0
765,Bushnell Inc.,Sports optics manufacturer,0,"Senior subordinated loan ($41,325 par due 2/2014)",6.80% (Libor + 6.50%/Q),4/1/2010,0,30708.0,30994.0
766,"Carlisle Wide Plank Floors, Inc.",Hardwood floor manufacturer,0,"Senior secured loan ($1,545 par due 6/2011)",0,4/1/2010,0,1449.0,773.0
767,"Carlisle Wide Plank Floors, Inc.",0,0,"Common stock (345,056 shares)",0,4/1/2010,0,0.0,0.0
768,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP(6)",Membership based buying club franchisor and operator,0,"Senior secured loan ($1,897 par due 11/2012)",8.25% (Base Rate + 5.00%/Q),12/14/2007,0,1858.0,1897.0
769,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP(6)",0,0,"Senior subordinated loan ($81,634 par due 5/2013)","12.00% Cash, 4.00% PIK",4/1/2010,0,77892.0,81634.0
770,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP(6)",0,0,"Limited partnership interest (80,000 shares)",0,4/1/2010,0,3112.0,3414.0
771,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP(6)",0,0,"Partnership interests (100,000 shares)",0,11/30/2007,0,10000.0,4347.0
772,"American Broadband Communications, LLC and American Broadband Holding Company",Broadband communication services,0,"Senior secured loan ($5,530 par due 9/2013)",7.50% (Libor + 5.50%/Q),9/1/2010,0,5861.0,5530.0
773,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior secured loan ($17,775 par due 9/2013)",7.50% (Libor + 5.50%/Q),9/1/2010,0,16924.0,17775.0
774,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior secured loan ($9,283 par due 9/2013)",7.50% (Libor + 5.50%/Q),9/1/2010,0,9283.0,9283.0
775,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior subordinated loan ($30,594 par due 11/2014)","12.00% Cash, 4.00% PIK",9/1/2010,0,30594.0,30594.0
776,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior subordinated loan ($32,768 par due 11/2014)","12.00% Cash, 4.00% PIK",2/8/2008,0,32768.0,32768.0
777,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior subordinated loan ($10,321 par due 11/2014)","12.00% Cash, 4.00% PIK",11/7/2007,0,10321.0,10321.0
778,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,Warrants to purchase up to 200 shares,0,11/7/2007,0,0.0,3915.0
779,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,Warrants to purchase up to 208 shares,0,9/1/2010,0,0.0,0.0
780,"Startec Equity, LLC(7)",Communication services,0,Member interest,0,4/1/2010,0,0.0,0.0
781,"Apple & Eve, LLC and US Juice Partners, LLC(6)",Juice manufacturer,0,"Senior secured revolving loan ($1,200 par due 10/1/2013)",12.00% (Base Rate + 8.00%/Q),10/5/2007,0,1200.0,1200.0
782,"Apple & Eve, LLC and US Juice Partners, LLC(6)",0,0,"Senior secured loan ($14,162 par due 10/2013)",12.00% (Libor + 9.00%/M),10/5/2007,0,14162.0,14162.0
783,"Apple & Eve, LLC and US Juice Partners, LLC(6)",0,0,"Senior secured loan ($14,900 par due 10/2013)",12.00% (Libor + 9.00%/M),10/5/2007,0,14900.0,14900.0
784,"Apple & Eve, LLC and US Juice Partners, LLC(6)",0,0,"Senior units (50,000 units)",0,10/5/2007,0,5000.0,5036.0
785,"Border Foods, Inc.(7)",Green chile and jalapeno products manufacturer,0,"Senior secured loan ($28,526 par due 3/2012)",13.50%,4/1/2010,0,28526.0,28526.0
786,"Border Foods, Inc.(7)",0,0,"Preferred stock (100,000 shares)",0,4/1/2010,0,21346.0,22801.0
787,"Border Foods, Inc.(7)",0,0,"Common stock (148,838 shares)",0,4/1/2010,0,13472.0,4809.0
788,"Border Foods, Inc.(7)",0,0,"Common stock (87,707 shares)",0,4/1/2010,0,0.0,2834.0
789,"Border Foods, Inc.(7)",0,0,"Common stock (23,922 shares)",0,4/1/2010,0,0.0,773.0
790,"Charter Baking Company, Inc.",Baked goods manufacturer,0,"Senior subordinated loan ($6,673 par due 2/2013)",13.00% PIK,2/6/2008,0,6673.0,6673.0
791,"Charter Baking Company, Inc.",0,0,"Preferred stock (6,258 shares)",0,9/1/2006,0,2500.0,1650.0
792,Distant Lands Trading Co.,Coffee manufacturer,0,"Common stock (1,294 shares)",0,4/1/2010,0,980.0,1048.0
793,Distant Lands Trading Co.,0,0,"Common stock (2,157 shares)",0,4/1/2010,0,0.0,0.0
794,Ideal Snacks Corporation,Snacks manufacturer,0,"Senior secured revolving loan ($1,084 par due 6/2011)",8.50% (Base Rate + 4.00%/M),4/1/2010,0,1084.0,922.0
795,"Apogee Retail, LLC",For-profit thrift retailer,0,Senior secured revolving loan ($780 par due 3/2012),7.25% (Base Rate + 4.00%/Q),3/27/2007,0,780.0,765.0
796,"Apogee Retail, LLC",0,0,"Senior secured loan ($11,523 par due 9/2012)","12.00% Cash, 4.00% PIK",5/28/2008,0,11523.0,11523.0
797,"Apogee Retail, LLC",0,0,"Senior secured loan ($2,939 par due 3/2012)",5.51% (Libor + 5.25%/M),3/27/2007,0,2939.0,2880.0
798,"Apogee Retail, LLC",0,0,"Senior secured loan ($3,420 par due 9/2012)","12.00% Cash, 4.00% PIK",5/28/2008,0,3420.0,3420.0
799,"Apogee Retail, LLC",0,0,"Senior secured loan ($25,841 par due 3/2012)",5.51% (Libor + 5.25%/M),3/27/2007,0,25841.0,25324.0
800,"Apogee Retail, LLC",0,0,"Senior secured loan ($11,307 par due 3/2012)",5.51% (Libor + 5.25%/M),3/27/2007,0,11307.0,11081.0
801,"Savers, Inc. and SAI Acquisition Corporation",For-profit thrift retailer,0,"Common stock (1,170,182 shares)",0,8/8/2006,0,4500.0,7238.0
802,"Things Remembered, Inc. and TRM Holdings Corporation",Personalized gifts retailer,0,"Senior secured loan ($2,413 par due 9/2012)","6.50% (Base Rate + 1.25% Cash, 1.00% PIK/M)",9/28/2006,0,2409.0,2364.0
803,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,"Senior secured loan ($28,122 par due 9/2012)","6.50% (Base Rate + 1.25% Cash, 1.00% PIK/M)",9/28/2006,0,28089.0,27560.0
804,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,"Senior secured loan ($7,110 par due 9/2012)","6.50% (Base Rate + 1.25% Cash, 1.00% PIK/M)",9/28/2006,0,7188.0,6968.0
805,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,Preferred stock (73 shares),0,3/19/2009,0,0.0,1939.0
806,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,Preferred stock (80 shares),0,9/28/2006,0,1800.0,2121.0
807,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,Common stock (800 shares),0,9/28/2006,0,200.0,0.0
808,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,Warrants to purchase up to 859 shares of preferred stock,0,3/19/2009,0,0.0,0.0
809,"10th Street, LLC(6)",Real estate holding company,0,"Senior subordinated loan ($23,247 par due 11/2014)","8.93% Cash, 4.07% PIK",4/1/2010,0,23247.0,23247.0
810,"10th Street, LLC(6)",0,0,Member interest (10.00% interest),0,4/1/2010,0,594.0,578.0
811,"10th Street, LLC(6)",0,0,"Option (25,000 units)",0,4/1/2010,0,25.0,25.0
812,"Allied Capital REIT, Inc.(7)",Real estate investment trust,0,Real estate equity interests,0,4/1/2010,0,50.0,35.0
813,"Allied Capital REIT, Inc.(7)",0,0,Real estate equity interests,0,4/1/2010,0,115.0,699.0
814,"American Commercial Coatings, Inc.",Real estate property,0,"Commercial mortgage  loan  ($2,000 par due 12/2025)",0,4/1/2010,0,1927.0,1875.0
815,"Aquila Binks Forest Development, LLC",Real estate developer,0,"Commercial mortgage  loan  ($12,870 par due 6/2011)",0,4/1/2010,0,11293.0,4812.0
816,"Cleveland East Equity, LLC",Hotel operator,0,"Real estate equity interest (2,522,748 shares)",0,4/1/2010,0,1026.0,2051.0
817,"Commons R-3, LLC",Real estate developer,0,Real estate equity interest,0,4/1/2010,0,0.0,0.0
818,"Crescent Hotels & Resorts, LLC and affiliates(7)",Hotel operator,0,Senior subordinated loan ($433 par due 6/2010),0,4/1/2010,0,433.0,444.0
819,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($4,124 par due 1/2012)",0,4/1/2010,0,1475.0,0.0
820,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($4,348 par due 6/2017)",0,4/1/2010,0,1482.0,1288.0
821,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($2,722 par due 6/2017)",0,4/1/2010,0,928.0,1963.0
822,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($5,974 par due 9/2012)",0,4/1/2010,0,2051.0,0.0
823,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,Senior subordinated loan ($263 par due 3/2013),0,4/1/2010,0,263.0,0.0
824,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($2,112 par due 9/2011)",0,4/1/2010,0,0.0,0.0
825,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($3,078 par due 1/2012)",0,4/1/2010,0,0.0,0.0
826,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($2,926 par due 6/2017)",0,4/1/2010,0,0.0,0.0
827,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($2,050 par due 6/2017)",0,4/1/2010,0,0.0,0.0
828,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,"Senior subordinated loan ($4,826 par due 9/2012)",0,4/1/2010,0,0.0,0.0
829,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,Preferred equity interest,0,4/1/2010,0,0.0,0.0
830,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,Preferred equity interest,0,4/1/2010,0,0.0,43.0
831,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,Common equity interest,0,4/1/2010,0,35.0,0.0
832,"Crescent Hotels & Resorts, LLC and affiliates(7)",0,0,Member interests,0,4/1/2010,0,0.0,0.0
833,"DI Safford, LLC",Hotel operator,0,"Commercial mortgage  loan  ($5,311 par due 5/2032)",0,4/1/2010,0,2757.0,2750.0
834,Holiday Inn West Chester,Hotel property,0,Real estate owned,0,4/1/2010,0,3513.0,3330.0
835,"Hot Light Brands, Inc.(7)",Real estate holding company,0,"Senior secured loan ($27,393 par due 2/2011)",0,4/1/2010,0,4875.0,4629.0
836,"Hot Light Brands, Inc.(7)",0,0,"Common stock (93,500 shares)",0,4/1/2010,0,0.0,0.0
837,"MGP Park Place Equity, LLC",Office building operator,0,"Commercial mortgage  loan  ($6,170 par due 5/2011)",0,4/1/2010,0,320.0,163.0
838,"NPH, Inc.",Hotel property,0,Real estate equity interest,0,4/1/2010,0,5291.0,6907.0
839,"Van Ness Hotel, Inc.",Hotel operator,0,"Commercial mortgage  loan  ($3,750 par due 8/2013)",0,4/1/2010,0,1027.0,0.0
840,"Van Ness Hotel, Inc.",0,0,"Commercial mortgage loan ($13,702 par due 12/2011)",5.50%,4/1/2010,0,13702.0,11291.0
841,"Van Ness Hotel, Inc.",0,0,Real estate equity interests,0,4/1/2010,0,0.0,0.0
842,"BECO Holding Company, Inc.",Wholesale distributor of first response fire protection equipment and related parts,0,"Common stock (25,000 shares)",0,7/30/2010,0,2500.0,2500.0
843,"Stag-Parkway, Inc.(7)",Automotive aftermarket components supplier,0,"Senior secured loan ($34,500 par due 12/2014)",12.50% (Libor + 11.00%/Q),9/30/2010,0,34500.0,34500.0
844,"Stag-Parkway, Inc.(7)",0,0,"Preferred stock (4,200 shares)",16.50%,9/30/2010,0,2328.0,4200.0
845,"Stag-Parkway, Inc.(7)",0,0,"Common stock (10,200 shares)",0,9/30/2010,0,0.0,13987.0
846,"Interactive Technology Solutions, LLC",IT services provider,0,"Senior secured loan ($7,944 par due 6/2015)",9.50% (Libor + 6.50%/Q),10/21/2010,0,7944.0,7944.0
847,"Interactive Technology Solutions, LLC",0,0,"Senior secured loan ($8,900 par due 6/2015)",9.50% (Libor + 6.50%/Q),10/21/2010,0,8900.0,8900.0
848,"Network Hardware Resale, Inc.",Networking equipment resale provider,0,"Senior subordinated loan ($12,343 par due 12/2011)",12.00% (Base Rate + 6.00%/A),4/1/2010,0,12343.0,12343.0
849,"Network Hardware Resale, Inc.",0,0,"Convertible junior subordinated loan ($17,518 par due 12/2015)",9.75% PIK,4/1/2010,0,17680.0,21039.0
850,"TZ Merger Sub, Inc.",Healthcare enterprise software developer,0,"Senior secured loan ($4,678 par due 8/2015)",6.75% (Base Rate + 3.50%/Q),6/15/2009,0,4597.0,4678.0
851,"AWTP, LLC",Water treatment services,0,"Junior secured loan ($4,755 par due 12/2012)",0,12/21/2005,0,4755.0,1517.0
852,"AWTP, LLC",0,0,"Junior secured loan ($2,086 par due 12/2012)",0,12/21/2005,0,2086.0,666.0
853,"AWTP, LLC",0,0,"Junior secured loan ($4,755 par due 12/2012)",0,12/21/2005,0,4755.0,1517.0
854,"AWTP, LLC",0,0,"Junior secured loan ($2,086 par due 12/2012)",0,12/21/2005,0,2086.0,666.0
855,"Mactec, Inc.",Engineering and environmental services,0,Class B-4 stock (16 shares),0,11/3/2004,0,0.0,0.0
856,"Mactec, Inc.",0,0,"Class C stock (5,556 shares)",0,11/3/2004,0,0.0,162.0
857,"Sigma International Group, Inc.(8)",Water treatment parts manufacturer,0,"Junior secured loan ($1,833 par due 10/2013)",16.00% (Libor + 8.00%/Q),10/11/2007,0,1833.0,1283.0
858,"Sigma International Group, Inc.(8)",0,0,Junior secured loan ($917 par due 10/2013),16.00% (Libor + 8.00%/Q),10/11/2007,0,917.0,642.0
859,"Sigma International Group, Inc.(8)",0,0,"Junior secured loan ($2,778 par due 10/2013)",16.00% (Libor + 8.00%/Q),10/11/2007,0,2778.0,1944.0
860,"Sigma International Group, Inc.(8)",0,0,"Junior secured loan ($4,000 par due 10/2013)",16.00% (Libor + 8.00%/Q),10/11/2007,0,4000.0,2800.0
861,"Sigma International Group, Inc.(8)",0,0,"Junior secured loan ($2,000 par due 10/2013)",16.00% (Libor + 8.00%/Q),10/11/2007,0,2000.0,1400.0
862,"Sigma International Group, Inc.(8)",0,0,"Junior secured loan ($6,060 par due 10/2013)",16.00% (Libor + 8.00%/Q),10/11/2007,0,6060.0,4242.0
863,"Universal Environmental Services, LLC",Hydrocarbon recycling and related waste management services and products,0,Preferred member interest (15.00% interest),0,4/1/2010,0,0.0,0.0
864,"Universal Environmental Services, LLC",0,0,"Preferred member interest (850,242 shares)",0,4/1/2010,0,0.0,0.0
865,"Universal Environmental Services, LLC",0,0,"Preferred member interest (7,099 shares)",0,4/1/2010,0,0.0,0.0
866,"Universal Environmental Services, LLC",0,0,"Preferred member interest (763,889 shares)",0,4/1/2010,0,0.0,0.0
867,"Waste Pro USA, Inc",Waste management services,0,"Preferred Class A Common Equity (611,615 shares)",0,11/9/2006,0,12263.0,16861.0
868,"Wastequip, Inc.(6)",Waste management equipment manufacturer,0,"Senior subordinated loan ($12,669 par due 2/2015)",0,2/5/2007,0,12581.0,760.0
869,"Wastequip, Inc.(6)",0,0,"Common stock (13,889 shares)",0,2/2/2007,0,1389.0,0.0
870,"Driven Brands, Inc.(6)",Automotive aftermarket car care franchisor,0,"Senior secured loan ($3,200 par due 10/2014)",6.50% (Libor + 5.00%/M),5/12/2010,0,3116.0,3200.0
871,"Driven Brands, Inc.(6)",0,0,Senior secured loan ($520 par due 10/2014),6.50% (Libor + 5.00%/M),4/1/2010,0,506.0,520.0
872,"Driven Brands, Inc.(6)",0,0,Senior secured loan ($213 par due 10/2014),7.00% (Base Rate + 3.75%/M),4/1/2010,0,207.0,213.0
873,"Driven Brands, Inc.(6)",0,0,"Common stock (3,772,098 shares)",0,4/1/2010,0,4939.0,6308.0
874,"Penn Detroit Diesel Allison, LLC(7)",Diesel engine manufacturer,0,"Member interest (70,249 shares)",0,4/1/2010,0,20069.0,22057.0
875,"Industrial Container Services, LLC(6)","Industrial container manufacturer, reconditioner and servicer",0,"Senior secured loan ($1,033 par due 9/2011)",5.75% (Base Rate + 2.50%/Q),9/30/2005,0,1033.0,1033.0
876,"Industrial Container Services, LLC(6)",0,0,Senior secured loan ($20 par due 9/2011),4.26% (Libor + 4.00%/Q),6/21/2006,0,20.0,20.0
877,"Industrial Container Services, LLC(6)",0,0,Senior secured loan ($101 par due 9/2011),4.26% (Libor + 4.00%/Q),6/21/2006,0,101.0,101.0
878,"Industrial Container Services, LLC(6)",0,0,Senior secured loan ($308 par due 9/2011),4.26% (Libor + 4.00%/Q),6/21/2006,0,308.0,308.0
879,"Industrial Container Services, LLC(6)",0,0,"Senior secured loan ($1,539 par due 9/2011)",4.26% (Libor + 4.00%/Q),6/21/2006,0,1539.0,1539.0
880,"Industrial Container Services, LLC(6)",0,0,Senior secured loan ($107 par due 9/2011),4.26% (Libor + 4.00%/Q),6/21/2006,0,107.0,107.0
881,"Industrial Container Services, LLC(6)",0,0,"Senior secured loan ($1,642 par due 9/2011)",4.26% (Libor + 4.00%/Q),6/21/2006,0,1642.0,1642.0
882,"Industrial Container Services, LLC(6)",0,0,Senior secured loan ($27 par due 9/2011),5.75% (Base Rate + 2.50%/Q),6/21/2006,0,27.0,27.0
883,"Industrial Container Services, LLC(6)",0,0,Senior secured loan ($410 par due 9/2011),5.75% (Base Rate + 2.50%/Q),6/21/2006,0,410.0,410.0
884,"Industrial Container Services, LLC(6)",0,0,"Common units (1,800,000 units)",0,9/29/2005,0,1800.0,15203.0
885,"Athletic Club Holdings, Inc.",Premier health club operator,0,"Senior secured loan ($7,250 par due 10/2013)",4.76% (Libor + 4.50%/M),10/11/2007,0,7250.0,6453.0
886,"Athletic Club Holdings, Inc.",0,0,"Senior secured loan ($11,500 par due 10/2013)",4.76% (Libor + 4.50%/M),10/11/2007,0,11500.0,10235.0
887,"EarthColor, Inc.(7)",Printing management services,0,"Common stock (89,435 shares)",0,4/1/2010,0,0.0,0.0
888,LVCG Holdings LLC(7),Commercial printer,0,Membership interests (56.53% interest),0,10/12/2007,0,6600.0,0.0
889,"National Print Group, Inc.",Printing management services,0,"Senior secured revolving loan ($1,141 par due 10/2012)",9.00% (Libor + 6.00%/Q),3/2/2006,0,1141.0,965.0
890,"National Print Group, Inc.",0,0,"Senior secured revolving loan ($1,250 par due 10/2012)",9.00% (Base Rate + 5.00%/Q),3/2/2006,0,1250.0,1057.0
891,"National Print Group, Inc.",0,0,"Senior secured loan ($7,685 par due 10/2012)","14.00% (Libor + 6.00% Cash, 5.00% PIK/Q)",3/2/2006,0,7359.0,7091.0
892,"National Print Group, Inc.",0,0,Senior secured loan ($187 par due 10/2012),"14.00% (Base Rate + 5.00% Cash, 5.00% PIK/Q)",3/2/2006,0,179.0,173.0
893,"National Print Group, Inc.",0,0,"Preferred stock (9,344 shares)",0,3/2/2006,0,2000.0,0.0
894,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,0,"Preferred stock (29,969 shares)",0,9/29/2006,0,2997.0,3851.0
895,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,0,"Common stock (15,393 shares)",0,9/29/2006,0,3.0,4.0
896,"AP Global Holdings, Inc.",Safety and security equipment manufacturer,0,"Senior secured loan ($6,274 par due 10/2013)",4.02% (Libor + 3.75%/M),11/18/2007,0,6243.0,6274.0
897,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",0,Senior preferred stock (775 shares),8.00%,1/17/2008,0,87.0,87.0
898,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",0,0,"Common stock (1,885,195 shares)",0,1/17/2008,0,2291.0,1968.0
899,"Geotrace Technologies, Inc.","Reservoir processing, development",0,"Warrants to purchase up to 43,356 shares of common stock",0,4/1/2010,0,54.0,0.0
900,"Geotrace Technologies, Inc.",0,0,"Warrants to purchase up to 26,622 shares of common stock",0,4/1/2010,0,33.0,0.0
901,"Geotrace Technologies, Inc.",0,0,"Warrants to purchase up to 80,063 shares of preferred stock",0,4/1/2010,0,1738.0,207.0
902,"Geotrace Technologies, Inc.",0,0,"Warrants to purchase up to 130,390 shares of preferred stock",0,4/1/2010,0,1067.0,337.0
903,HB&G Building Products,Synthetic and wood product manufacturer,0,"Senior subordinated loan ($8,956 par due 3/2013)",0,10/8/2004,0,8991.0,179.0
904,HB&G Building Products,0,0,"Common stock (2,743 shares)",0,10/8/2004,0,753.0,0.0
905,HB&G Building Products,0,0,"Warrants to purchase up to 4,464 shares of common stock",0,10/8/2004,0,653.0,0.0
