,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
739,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured revolving loan,0,0,8/8/2019,0,0.0,0.0
740,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured loan ($59.8 par due 8/2026),6.05% (Libor + 4.25%/M),0,8/8/2019,0,59.8,59.2
742,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured loan ($2.9 par due 8/2026),6.05% (Libor + 4.25%/M),0,8/8/2019,0,2.9,2.8
743,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets","Class A units (4,549,000 units)",0,0,8/8/2019,0,4.5,5.3
745,"LTG Acquisition, Inc.","Designer and manufacturer of display, lighting and passenger communication systems for mass transportation markets","Class A membership units (5,000 units)",0,0,1/3/2017,0,5.1,2.3
746,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,Second lien senior secured loan ($23.6 par due 1/2026),10.95% (Libor + 9.00%/Q),0,5/28/2019,0,23.6,23.2
747,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,Second lien senior secured loan ($68.4 par due 1/2026),10.95% (Libor + 9.00%/Q),0,1/22/2018,0,68.4,67.0
749,"Radius Aerospace, Inc. and Radius Aerospace Europe Limited (17)",Metal fabricator in the aerospace industry,First lien senior secured revolving loan ($0.2 par due 3/2025),7.65% (Libor + 5.75%/Q),0,3/29/2019,0,0.2,0.2
750,"Radius Aerospace, Inc. and Radius Aerospace Europe Limited (17)",Metal fabricator in the aerospace industry,First lien senior secured loan ($8.9 par due 3/2025),7.71% (Libor + 5.75%/Q),0,3/29/2019,0,8.9,8.8
751,"Radius Aerospace, Inc. and Radius Aerospace Europe Limited (17)",Metal fabricator in the aerospace industry,First lien senior secured loan ($5.7 par due 3/2025),7.70% (Libor + 5.75%/Q),0,11/14/2019,0,5.7,5.6
753,Saw Mill PCG Partners LLC,Manufacturer of metal precision engineered components,"Common units (1,000 units)",0,0,1/30/2007,0,1.0,0.0
754,"Sunk Rock Foundry Partners LP, Hatteras Electrical Manufacturing Holding Company and Sigma Electric Manufacturing Corporation (17)","Manufacturer of metal castings, precision machined components and sub-assemblies in the electrical products, power transmission and distribution and general industrial markets",First lien senior secured revolving loan ($3.7 par due 10/2022),6.52% (Libor + 4.75%/M),0,10/31/2017,0,3.7,3.7
757,"Birch Permian, LLC (17)",Operator of private exploration oil and production company,Second lien senior secured loan ($66.1 par due 4/2023),10.34% (Libor + 8.00%/Q),0,4/12/2019,0,65.6,65.5
758,"Birch Permian, LLC (17)",Operator of private exploration oil and production company,Second lien senior secured loan ($7.4 par due 4/2023),9.99% (Libor + 8.00%/Q),0,4/12/2019,0,7.3,7.3
760,"Cheyenne Petroleum Company Limited Partnership, CPC 2001 LLC and Mill Shoals LLC",Private oil exploration and production company,Second lien senior secured loan ($63.1 par due 1/2024),10.45% (Libor + 8.50%/Q),0,7/10/2019,0,63.1,62.5
761,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,First lien senior secured loan ($7.8 par due 10/2018),0,0,3/31/2015,0,5.8,0.0
762,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock (expires 7/2023)",0,0,7/25/2013,0,0.0,0.0
764,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC",Exploration and production company,First lien senior secured loan ($18.3 par due 10/2023),11.00% (Libor + 9.00%/Q),0,9/19/2019,0,18.2,18.3
765,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC",Exploration and production company,First lien senior secured loan ($38.3 par due 10/2023),10.00% (Libor + 8.00%/Q),0,9/19/2019,0,38.3,38.3
766,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC",Exploration and production company,"Preferred units (21,667 units)",8.00% PIK,0,10/26/2018,0,23.5,23.5
768,Penn Virginia Holding Corp.,Exploration and production company,Second lien senior secured loan ($90.1 par due 9/2022),8.81% (Libor + 7.00%/M),0,9/28/2017,0,90.1,90.1
769,"Sundance Energy, Inc.",Oil and gas producer,Second lien senior secured loan ($60.7 par due 4/2023),9.95% (Libor + 8.00%/Q),0,4/23/2018,0,59.9,60.1
770,"VPROP Operating, LLC and Vista Proppants and Logistics, LLC",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($90.8 par due 8/2021),0,0,3/1/2017,0,87.5,65.3
771,"VPROP Operating, LLC and Vista Proppants and Logistics, LLC",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($28.3 par due 8/2021),0,0,8/1/2017,0,27.2,20.4
772,"VPROP Operating, LLC and Vista Proppants and Logistics, LLC",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($35.3 par due 8/2021),0,0,11/9/2017,0,34.0,25.4
773,"VPROP Operating, LLC and Vista Proppants and Logistics, LLC",Sand-based proppant producer and distributor to the oil and natural gas industry,"Common units (997,864 units)",0,0,11/9/2017,0,9.7,0.0
778,Achilles Acquisition LLC (17),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured revolving loan ($5.7 par due 10/2023),7.75% (Base Rate + 3.00%/Q),0,10/11/2018,0,5.2,5.7
779,Achilles Acquisition LLC (17),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured loan ($8.3 par due 10/2025),5.81% (Libor + 4.00%/M),0,10/11/2018,0,8.3,8.3
780,Achilles Acquisition LLC (17),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured loan ($10.6 par due 10/2025),5.81% (Libor + 4.00%/M),0,10/11/2018,0,10.6,10.6
782,"Alera Group Intermediate Holdings, Inc.",Insurance service provider,Second lien senior secured loan ($26.2 par due 3/2026),10.30% (Libor + 8.50%/M),0,3/5/2019,0,26.2,26.2
783,"Alera Group Intermediate Holdings, Inc.",Insurance service provider,Second lien senior secured loan ($24.4 par due 3/2026),10.30% (Libor + 8.50%/M),0,3/5/2019,0,24.4,24.4
785,Amynta Agency Borrower Inc. and Amynta Warranty Borrower Inc.,Insurance service provider,First lien senior secured loan ($13.4 par due 2/2025),6.30% (Libor + 4.50%/M),0,12/21/2018,0,13.4,12.6
786,"AQ Sunshine, Inc. (17)",Specialized insurance broker,First lien senior secured revolving loan ($0.1 par due 4/2024),7.44% (Libor + 5.50%/Q),0,4/15/2019,0,0.1,0.1
787,"AQ Sunshine, Inc. (17)",Specialized insurance broker,First lien senior secured loan ($7.9 par due 4/2025),7.42% (Libor + 5.50%/Q),0,4/15/2019,0,7.9,7.8
789,"Foundation Risk Partners, Corp. (17)",Full service independent insurance agency,First lien senior secured revolving loan ($4.2 par due 11/2023),6.55% (Libor + 4.75%/M),0,11/10/2017,0,4.2,4.2
790,"Foundation Risk Partners, Corp. (17)",Full service independent insurance agency,First lien senior secured loan ($11.2 par due 11/2023),6.70% (Libor + 4.75%/Q),0,5/1/2019,0,11.2,11.2
791,"Foundation Risk Partners, Corp. (17)",Full service independent insurance agency,First lien senior secured loan ($22.1 par due 11/2023),6.70% (Libor + 4.75%/Q),0,11/10/2017,0,22.1,22.1
792,"Foundation Risk Partners, Corp. (17)",Full service independent insurance agency,Second lien senior secured loan ($19.1 par due 11/2024),10.45% (Libor + 8.50%/Q),0,8/9/2018,0,19.1,19.1
793,"Foundation Risk Partners, Corp. (17)",Full service independent insurance agency,Second lien senior secured loan ($21.7 par due 11/2024),10.45% (Libor + 8.50%/Q),0,8/9/2018,0,21.7,21.7
794,"Foundation Risk Partners, Corp. (17)",Full service independent insurance agency,Second lien senior secured loan ($16.1 par due 11/2024),10.45% (Libor + 8.50%/Q),0,5/1/2019,0,16.1,16.1
795,"Foundation Risk Partners, Corp. (17)",Full service independent insurance agency,Second lien senior secured loan ($27.5 par due 11/2024),10.45% (Libor + 8.50%/Q),0,11/10/2017,0,27.5,27.5
797,"K2 Insurance Services, LLC and K2 Holdco LP (17)",Specialty insurance and managing general agency,First lien senior secured revolving loan,0,0,7/1/2019,0,0.0,0.0
798,"K2 Insurance Services, LLC and K2 Holdco LP (17)",Specialty insurance and managing general agency,First lien senior secured loan ($60.9 par due 7/2024),7.21% (Libor + 5.00%/Q),0,7/1/2019,0,60.9,60.3
799,"K2 Insurance Services, LLC and K2 Holdco LP (17)",Specialty insurance and managing general agency,"Common equity (799,000 units)",0,0,7/1/2019,0,0.8,0.8
801,"NSM Insurance Group, LLC",Insurance program administrator,First lien senior secured loan ($13.0 par due 5/2024),6.30% (Libor + 4.50%/M),0,5/11/2018,0,13.0,13.0
802,"RSC Acquisition, Inc. and RSC Insurance Brokerage, Inc. (17)",Insurance broker,First lien senior secured loan ($42.6 par due 10/2026),7.41% (Libor + 5.50%/Q),0,11/1/2019,0,42.6,42.2
803,"RSC Acquisition, Inc. and RSC Insurance Brokerage, Inc. (17)",Insurance broker,First lien senior secured loan ($2.6 par due 10/2026),7.45% (Libor + 5.50%/Q),0,11/1/2019,0,2.6,2.5
805,SCM Insurance Services Inc. (17),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",First lien senior secured revolving loan ($3.9 par due 8/2022),7.95% (CAD Base Rate + 4.00%/Q),0,8/29/2017,0,3.8,3.7
806,SCM Insurance Services Inc. (17),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",First lien senior secured loan ($20.3 par due 8/2024),7.06% (CIBOR + 5.00%/M),0,8/29/2017,0,21.0,19.5
807,SCM Insurance Services Inc. (17),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",Second lien senior secured loan ($58.4 par due 3/2025),11.06% (CIBOR + 9.00%/M),0,8/29/2017,0,60.5,54.9
809,"SelectQuote, Inc.",Direct to consumer insurance distribution platform,First lien senior secured loan ($17.8 par due 11/2024),7.70% (Libor + 6.00%/Q),0,11/5/2019,0,17.8,17.6
810,"THG Acquisition, LLC (17)",Multi-line insurance broker,First lien senior secured revolving loan,0,0,12/2/2019,0,0.0,0.0
812,"THG Acquisition, LLC (17)",Multi-line insurance broker,First lien senior secured loan ($35.7 par due 12/2026),7.70% (Libor + 5.75%/Q),0,12/2/2019,0,35.7,35.4
816,American Seafoods Group LLC and American Seafoods Partners LLC,Harvester and processor of seafood,"Class A units (77,922 units)",0,0,8/19/2015,0,0.1,0.2
817,American Seafoods Group LLC and American Seafoods Partners LLC,Harvester and processor of seafood,"Warrant to purchase up to 7,422,078 Class A units (expires 8/2035)",0,0,8/19/2015,0,7.4,23.4
819,"Bragg Live Food Products, LLC and SPC Investment Co., L.P. (4)(17)",Health food company,First lien senior secured loan ($32.4 par due 3/2024),7.70% (Libor + 5.75%/Q),0,3/11/2019,0,32.4,32.1
820,"Bragg Live Food Products, LLC and SPC Investment Co., L.P. (4)(17)",Health food company,"Common units (14,850 units)",0,0,3/11/2019,0,14.9,11.6
822,CHG PPC Parent LLC,Diversified food products manufacturer,Second lien senior secured loan ($60.5 par due 3/2026),9.30% (Libor + 7.50%/M),0,3/30/2018,0,60.5,60.5
823,CHG PPC Parent LLC,Diversified food products manufacturer,Second lien senior secured loan ($34.1 par due 3/2026),9.55% (Libor + 7.75%/M),0,1/31/2019,0,34.1,34.1
825,Ferraro Fine Foods Corp. and Italian Fine Foods Holdings L.P. (17),Specialty Italian food distributor,First lien senior secured loan ($9.3 par due 5/2024),6.20% (Libor + 4.25%/Q),0,5/9/2018,0,9.3,9.3
826,Ferraro Fine Foods Corp. and Italian Fine Foods Holdings L.P. (17),Specialty Italian food distributor,First lien senior secured loan ($0.7 par due 5/2024),6.20% (Libor + 4.25%/Q),0,12/7/2018,0,0.7,0.7
827,Ferraro Fine Foods Corp. and Italian Fine Foods Holdings L.P. (17),Specialty Italian food distributor,First lien senior secured loan ($2.9 par due 5/2024),6.20% (Libor + 4.25%/Q),0,5/10/2019,0,2.9,2.9
828,Ferraro Fine Foods Corp. and Italian Fine Foods Holdings L.P. (17),Specialty Italian food distributor,"Class A common units (2,724,000 units)",0,0,5/9/2018,0,2.7,3.9
830,"Gehl Foods, LLC and GF Parent LLC","Producer of low-acid, aseptic food and beverage products","Class A preferred units (2,940 units)",0,0,5/13/2015,0,2.9,0.0
831,"Gehl Foods, LLC and GF Parent LLC","Producer of low-acid, aseptic food and beverage products","Class A common units (60,000 units)",0,0,5/13/2015,0,0.1,0.0
832,"Gehl Foods, LLC and GF Parent LLC","Producer of low-acid, aseptic food and beverage products",Class B common units (0.26 units),0,0,5/13/2015,0,0.0,0.0
834,Hometown Food Company (17),Food distributor,First lien senior secured revolving loan,0,0,8/31/2018,0,0.0,0.0
835,Hometown Food Company (17),Food distributor,First lien senior secured loan ($9.0 par due 8/2023),6.80% (Libor + 5.00%/M),0,8/31/2018,0,8.8,9.0
837,"KC Culinarte Intermediate, LLC",Manufacturer of fresh refrigerated and frozen food products,Second lien senior secured loan ($35.7 par due 8/2026),9.55% (Libor + 7.75%/M),0,8/24/2018,0,35.7,35.3
838,"NECCO Holdings, Inc. and New England Confectionery Company, Inc. (5)(17)",Producer and supplier of candy,First lien senior secured revolving loan ($19.9 par due 1/2018),0,0,1/3/2017,0,7.9,2.9
839,"NECCO Holdings, Inc. and New England Confectionery Company, Inc. (5)(17)",Producer and supplier of candy,First lien senior secured loan ($11.6 par due 11/2021),0,0,1/3/2017,0,0.9,1.6
840,"NECCO Holdings, Inc. and New England Confectionery Company, Inc. (5)(17)",Producer and supplier of candy,First lien senior secured loan ($0.7 par due 11/2018),0,0,11/20/2017,0,0.7,0.1
841,"NECCO Holdings, Inc. and New England Confectionery Company, Inc. (5)(17)",Producer and supplier of candy,First lien senior secured loan ($2.2 par due 8/2018),0,0,11/20/2017,0,2.1,0.0
842,"NECCO Holdings, Inc. and New England Confectionery Company, Inc. (5)(17)",Producer and supplier of candy,"Common stock (860,189 shares)",0,0,1/3/2017,0,0.2,0.0
844,"RF HP SCF Investor, LLC",Branded specialty food company,Membership interest (10.08% interest),0,0,12/22/2016,0,12.5,18.2
845,"Sovos Brands Intermediate, Inc. (17)",Food and beverage platform,First lien senior secured loan ($6.8 par due 11/2025),6.80% (Libor + 5.00%/M),0,11/20/2018,0,6.8,6.8
846,"Teasdale Foods, Inc. and Familia Group Holdings Inc. (17)","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels",First lien senior secured revolving loan ($0.1 par due 10/2020),7.69% (Libor + 5.75%/M),0,6/30/2017,0,0.1,0.1
847,"Teasdale Foods, Inc. and Familia Group Holdings Inc. (17)","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels",First lien senior secured loan ($0.5 par due 10/2020),7.70% (Libor + 5.75%/Q),0,6/26/2018,0,0.5,0.5
849,"Teasdale Foods, Inc. and Familia Group Holdings Inc. (17)","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels",Second lien senior secured loan ($62.0 par due 10/2022),11.93% PIK (Libor + 10.00%/Q),0,1/3/2017,0,62.0,51.5
850,"Teasdale Foods, Inc. and Familia Group Holdings Inc. (17)","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels",Second lien senior secured loan ($35.6 par due 10/2022),11.93% PIK (Libor + 10.00%/Q),0,1/3/2017,0,35.6,29.5
851,"Teasdale Foods, Inc. and Familia Group Holdings Inc. (17)","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels","Warrant to purchase up to 57,827 shares of common stock (expires 2/2034)",0,0,2/4/2019,0,0.0,0.0
855,"Atlas Intermediate III, L.L.C. (17)",Specialty chemicals distributor,First lien senior secured loan ($9.0 par due 4/2025),7.41% (Libor + 5.50%/Q),0,4/29/2019,0,9.0,8.9
856,"Blue Angel Buyer 1, LLC and Blue Angel Holdco, LLC (4)(17)",Distributor of OEM appliance aftermarket parts,First lien senior secured loan ($1.4 par due 1/2025),5.80% (Libor + 4.00%/M),0,1/2/2019,0,1.4,1.4
857,"Blue Angel Buyer 1, LLC and Blue Angel Holdco, LLC (4)(17)",Distributor of OEM appliance aftermarket parts,"Class A preferred units (46,359 units)",8.00% PIK,0,1/2/2019,0,10.3,10.3
859,"Chariot Acquisition, LLC (17)",Manufacturer of aftermarket golf cart parts and accessories,First lien senior secured loan ($26.7 par due 9/2021),8.44% (Libor + 6.50%/Q),0,1/3/2017,0,26.6,26.4
860,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (17)",Provider of visual communications solutions,First lien senior secured loan ($16.3 par due 3/2025),7.45% (Libor + 5.65%/M),0,3/13/2019,0,16.3,16.3
861,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (17)",Provider of visual communications solutions,First lien senior secured loan ($2.6 par due 3/2025),7.45% (Libor + 5.65%/M),0,8/27/2019,0,2.6,2.6
862,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (17)",Provider of visual communications solutions,Common units (600 units),0,0,3/13/2019,0,0.6,0.8
864,"KHC Holdings, Inc. and Kele Holdco, Inc. (17)",Catalog-based distribution services provider for building automation systems,First lien senior secured revolving loan ($3.3 par due 10/2021),6.05% (Libor + 4.25%/M),0,1/3/2017,0,3.3,3.3
865,"KHC Holdings, Inc. and Kele Holdco, Inc. (17)",Catalog-based distribution services provider for building automation systems,First lien senior secured loan ($45.5 par due 10/2022),7.95% (Libor + 6.00%/Q),0,1/3/2017,0,45.5,45.5
866,"KHC Holdings, Inc. and Kele Holdco, Inc. (17)",Catalog-based distribution services provider for building automation systems,"Common stock (30,000 shares)",0,0,1/3/2017,0,3.1,4.5
868,"McKenzie Creative Brands, LLC (17)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured revolving loan ($1.7 par due 9/2023),5.82% (Libor + 3.75%/Q),0,9/18/2014,0,1.7,1.7
869,"McKenzie Creative Brands, LLC (17)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured loan ($84.5 par due 9/2023),7.95% (Libor + 5.75%/Q),0,9/18/2014,0,84.5,83.7
870,"McKenzie Creative Brands, LLC (17)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured loan ($5.5 par due 9/2023),7.95% (Libor + 5.75%/Q),0,9/18/2014,0,5.5,5.4
872,"Paper Source, Inc. and Pine Holdings, Inc.",Retailer of fine and artisanal paper products,"Class A common stock (36,364 shares)",0,0,9/23/2013,0,6.0,1.3
873,Reddy Ice LLC (17),Packaged ice manufacturer and distributor,First lien senior secured revolving loan,0,0,7/1/2019,0,0.0,0.0
874,Reddy Ice LLC (17),Packaged ice manufacturer and distributor,First lien senior secured loan ($57.7 par due 7/2025),7.60% (Libor + 5.50%/M),0,7/1/2019,0,57.7,57.1
878,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"Warrant to purchase 322,422 shares of Series D preferred stock (expires 3/2023)",0,0,3/28/2013,0,0.0,0.0
879,"GS Pretium Holdings, Inc.",Manufacturer and supplier of high performance plastic containers,"Common stock (500,000 shares)",0,0,6/2/2014,0,0.5,1.1
880,"Halex Holdings, Inc. (5)",Manufacturer of flooring installation products,"Common stock (51,853 shares)",0,0,1/3/2017,0,0.0,0.0
881,"H-Food Holdings, LLC and Matterhorn Parent, LLC",Food contract manufacturer,First lien senior secured loan ($4.6 par due 5/2025),5.80% (Libor + 4.00%/M),0,11/25/2018,0,4.6,4.6
882,"H-Food Holdings, LLC and Matterhorn Parent, LLC",Food contract manufacturer,Second lien senior secured loan ($73.0 par due 3/2026),8.80% (Libor + 7.00%/M),0,11/25/2018,0,73.0,72.3
883,"H-Food Holdings, LLC and Matterhorn Parent, LLC",Food contract manufacturer,"Common units (5,827 units)",0,0,11/25/2018,0,5.8,5.0
886,IntraPac International LLC and IntraPac Canada Corporation (17),Manufacturer of diversified packaging solutions and plastic injection molded products,First lien senior secured revolving loan ($7.7 par due 1/2025),7.71% (Libor + 5.50%/Q),0,1/11/2019,0,7.7,7.7
887,IntraPac International LLC and IntraPac Canada Corporation (17),Manufacturer of diversified packaging solutions and plastic injection molded products,First lien senior secured loan ($15.0 par due 1/2026),7.45% (Libor + 5.50%/Q),0,1/11/2019,0,15.0,14.9
888,IntraPac International LLC and IntraPac Canada Corporation (17),Manufacturer of diversified packaging solutions and plastic injection molded products,First lien senior secured loan ($21.6 par due 1/2026),7.45% (Libor + 5.50%/Q),0,1/11/2019,0,21.6,21.4
890,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (17)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured revolving loan ($0.2 par due 7/2024),6.05% (Libor + 4.25%/M),0,7/2/2019,0,0.2,0.2
891,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (17)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured loan ($15.3 par due 7/2026),6.05% (Libor + 4.25%/M),0,7/2/2019,0,15.3,15.2
892,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (17)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured loan ($4.6 par due 7/2026),6.05% (Libor + 4.25%/M),0,8/7/2019,0,4.6,4.5
893,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (17)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured loan ($5.2 par due 7/2026),4.50% (Euribor + 4.50%/M),0,7/2/2019,0,5.2,5.1
894,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (17)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured loan ($24.6 par due 7/2026),4.50% (Euribor + 4.50%/M),0,8/8/2019,0,24.5,24.3
895,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (17)",Manufacturer of thermoformed packaging for medical devices,"Class A units (6,762,668 units)",0,0,7/2/2019,0,6.8,6.7
897,Plaskolite PPC Intermediate II LLC and Plaskolite PPC Blocker LLC,Manufacturer of specialized acrylic and polycarbonate sheets,First lien senior secured loan ($12.3 par due 12/2025),6.04% (Libor + 4.25%/M),0,12/14/2018,0,12.1,11.8
898,Plaskolite PPC Intermediate II LLC and Plaskolite PPC Blocker LLC,Manufacturer of specialized acrylic and polycarbonate sheets,Second lien senior secured loan ($55.7 par due 12/2026),9.47% (Libor + 7.75%/M),0,12/14/2018,0,55.7,53.2
899,Plaskolite PPC Intermediate II LLC and Plaskolite PPC Blocker LLC,Manufacturer of specialized acrylic and polycarbonate sheets,"Co-Invest units (5,969 units)",0,0,12/14/2018,0,0.6,0.5
901,"SCI PH Parent, Inc.","Industrial container manufacturer, reconditioner and servicer",Series B shares (11.4764 shares),0,0,8/24/2018,0,1.1,2.9
902,"TWH Infrastructure Industries, Inc. (17)",Manufacturer of engineered products used in the trenchless rehabilitation of wastewater infrastructure,First lien senior secured loan ($6.6 par due 4/2025),7.45% (Libor + 5.50%/Q),0,4/9/2019,0,6.6,6.5
905,"Alcami Corporation and ACM Holdings I, LLC (17)",Outsourced drug development services provider,First lien senior secured revolving loan ($2.9 par due 7/2023),5.53% (Libor + 3.75%/Q),0,7/12/2018,0,2.9,2.9
906,"Alcami Corporation and ACM Holdings I, LLC (17)",Outsourced drug development services provider,First lien senior secured loan ($29.8 par due 7/2025),6.05% (Libor + 4.25%/M),0,7/12/2018,0,29.7,28.3
907,"Alcami Corporation and ACM Holdings I, LLC (17)",Outsourced drug development services provider,Second lien senior secured loan ($77.5 par due 7/2026),9.80% (Libor + 8.00%/M),0,7/12/2018,0,76.9,69.8
908,"Alcami Corporation and ACM Holdings I, LLC (17)",Outsourced drug development services provider,"Common units (3,269,900 units)",0,0,7/12/2018,0,32.7,18.8
910,Consumer Health Parent LLC,Developer and marketer of over-the-counter cold remedy products,"Preferred units (1,072 units)",0,0,12/15/2017,0,1.1,0.6
911,Consumer Health Parent LLC,Developer and marketer of over-the-counter cold remedy products,"Series A units (1,072 units)",0,0,12/15/2017,0,0.0,0.0
913,"NMC Skincare Intermediate Holdings II, LLC (17)","Developer, manufacturer and marketer of skincare products",First lien senior secured revolving loan ($4.5 par due 10/2024),6.55% (Libor + 4.75%/M),0,10/31/2018,0,4.5,4.5
914,"NMC Skincare Intermediate Holdings II, LLC (17)","Developer, manufacturer and marketer of skincare products",First lien senior secured loan ($24.6 par due 10/2024),6.55% (Libor + 4.75%/M),0,10/31/2018,0,24.6,24.6
915,"NMC Skincare Intermediate Holdings II, LLC (17)","Developer, manufacturer and marketer of skincare products",First lien senior secured loan ($1.7 par due 10/2024),6.55% (Libor + 4.75%/M),0,10/31/2018,0,1.7,1.7
917,"Nodality, Inc.",Biotechnology company,First lien senior secured loan ($14.9 par due 8/2019),0,0,4/25/2014,0,9.7,0.0
918,"Nodality, Inc.",Biotechnology company,First lien senior secured loan ($3.1 par due 8/2020),0,0,11/12/2015,0,2.1,0.0
920,"Nodality, Inc.",Biotechnology company,"Warrant to purchase up to 3,736,255 shares of common stock (expires 3/2026)",0,0,5/1/2016,0,0.0,0.0
922,TerSera Therapeutics LLC (17),Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($5.2 par due 3/2023),7.20% (Libor + 5.25%/Q),0,5/3/2017,0,5.1,5.2
923,TerSera Therapeutics LLC (17),Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($2.1 par due 3/2023),7.20% (Libor + 5.25%/Q),0,9/27/2018,0,2.1,2.1
924,TerSera Therapeutics LLC (17),Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($1.8 par due 3/2023),7.20% (Libor + 5.25%/Q),0,4/1/2019,0,1.8,1.8
926,Vertice Pharma UK Parent Limited,Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",8.00% PIK,0,12/21/2015,0,0.3,0.4
929,Excelligence Holdings Corp.,"Developer, manufacturer and retailer of educational products",First lien senior secured loan ($9.1 par due 4/2023),7.80% (Libor + 6.00%/M),0,4/17/2017,0,9.1,7.5
930,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (17)","Distributor of instructional products, services and resources",First lien senior secured loan ($30.6 par due 8/2023),6.67% (Libor + 4.75%/Q),0,7/26/2017,0,30.6,30.6
931,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (17)","Distributor of instructional products, services and resources",First lien senior secured loan ($1.2 par due 8/2023),6.70% (Libor + 4.75%/Q),0,8/31/2018,0,1.2,1.2
932,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (17)","Distributor of instructional products, services and resources","Series A preferred stock (1,272 shares)",0,0,10/24/2014,0,0.7,1.1
934,"Infilaw Holding, LLC (17)",Operator of for-profit law schools,First lien senior secured revolving loan ($5.0 par due 9/2022),0,0,8/25/2011,0,4.2,0.0
935,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,First lien senior secured loan ($4.1 par due 10/2021),10.93% (Libor + 9.00%/Q),0,10/31/2015,0,4.1,4.1
936,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Senior preferred series A-1 shares (163,902 shares)",0,0,10/31/2015,0,119.4,39.1
