,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,,Fair Value,,Percentage of Net Assets,,,
922,,,First lien senior secured revolving loan ($0.1 par due 07/2024),"6.75% (LIBOR + 5.25% Cash, 0.50% PIK/Q)",7/31/2018,0.1,,,0.1,,(2)(12),,
923,,,First lien senior secured loan ($0.3 par due 07/2025),"6.75% (LIBOR + 4.25% Cash, 0.50% PIK/Q)",3/5/2020,0.3,,,0.3,,(2)(12),,
924,,,First lien senior secured loan ($1.0 par due 07/2025),"6.25% (LIBOR + 4.75% Cash, 0.50% PIK/Q)",3/5/2020,1.0,,,1.0,,(2)(12),,
925,,,"Class A units (37,020 units)",,7/31/2018,3.8,,,2.4,,,,
927,"The Alaska Club Partners, LLC, Athletic Club Partners LLC and The Alaska Club, Inc. (16)",Premier health club operator,First lien senior secured loan ($15.4 par due 12/2024),"10.50% (Base Rate + 5.00% Cash, 2.00% PIK/Q)",12/16/2019,15.4,,,14.3,,(2)(12),,
928,"The Arcticom Group, LLC and AMCP Mechanical Holdings, LP (16)","Refrigeration, heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($3.0 par due 12/2027),6.75% (LIBOR + 6.00%/Q),12/22/2021,3.0,,,2.9,,(2)(12),,
929,,,First lien senior secured revolving loan ($2.8 par due 12/2027),8.5% (Base Rate + 5.00%/Q),12/22/2021,2.8,,,2.7,,(2)(12),,
930,,,First lien senior secured loan ($12.1 par due 12/2027),6.75% (LIBOR + 6.00%/Q),12/22/2021,12.1,,,12.0,,(2)(12),,
931,,,"Class A units (4,897,000 units)",,12/22/2021,4.9,,,4.9,,,,
933,"YE Brands Holdings, LLC (16)",Sports camp operator,First lien senior secured loan ($8.0 par due 10/2027),6.25% (LIBOR + 5.50%/Q),10/18/2021,8.0,,,7.9,,(2)(12),,
934,,,,,,770.9,,,762.1,,,8.13%,
937,"Atlas Intermediate III, L.L.C. (16)",Specialty chemicals distributor,First lien senior secured revolving loan ($0.1 par due 04/2025),6.50% (LIBOR + 5.50%/Q),4/29/2019,0.1,,,0.1,,(2)(12),,
938,,,First lien senior secured loan ($0.1 par due 04/2025),6.50% (LIBOR + 5.50%/Q),11/19/2021,0.1,,,0.1,,(2)(12),,
939,,,First lien senior secured loan ($3.9 par due 04/2025),6.75% (LIBOR + 5.75%/Q),3/1/2022,3.9,,,3.9,,(2)(12),,
940,,,First lien senior secured loan ($0.2 par due 04/2025),6.50% (LIBOR + 5.50%/Q),3/31/2021,0.2,,,0.2,,(2)(12),,
942,"Bamboo Purchaser, Inc. (16)","Provider of nursery, garden, and greenhouse products",First lien senior secured loan ($39.0 par due 11/2027),7.01% (LIBOR + 6.00%/Q),11/5/2021,39.0,,,38.6,,(2)(12),,
943,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (16)",Provider of visual communications solutions,First lien senior secured loan ($0.1 par due 03/2025),6.65% (LIBOR + 5.65%/M),6/25/2021,0.1,,,0.1,,(2)(12),,
944,,,First lien senior secured loan ($15.9 par due 03/2025),6.65% (LIBOR + 5.65%/M),3/13/2019,15.9,,,15.9,,(12),,
945,,,First lien senior secured loan ($0.1 par due 03/2025),6.65% (LIBOR + 5.65%/M),8/27/2019,0.1,,,0.1,,(2)(12),,
946,,,Common units (600 units),,3/13/2019,0.6,,,1.0,,(2),,
948,"GPM Investments, LLC and ARKO Corp.",Convenience store operator,"Common stock (2,088,478 shares)",,12/22/2020,19.8,,,24.3,,,,
949,,,"Warrant to purchase up to 1,088,780 common stock (expires 12/2025)",,12/22/2020,1.6,,,2.0,,(2),,
951,"Marcone Yellowstone Buyer Inc. and Marcone Yellowstone Holdings, LLC (16)",Distributor of OEM appliance aftermarket parts,First lien senior secured loan ($40.0 par due 06/2028),6.50% (LIBOR + 5.50%/Q),6/23/2021,40.0,,,40.0,,(2)(12),,
952,,,First lien senior secured loan ($6.9 par due 06/2028),6.51% (LIBOR + 5.50%/Q),12/31/2021,6.9,,,6.9,,(2)(12),,
953,,,"Class A common units (5,578 units)",,6/23/2021,5.8,,,10.2,,(2),,
955,"McKenzie Creative Brands, LLC (16)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured loan ($84.5 par due 09/2023),6.75% (LIBOR + 5.75%/Q),9/18/2014,84.5,,,84.5,,(8)(12),,
956,,,First lien senior secured loan ($5.5 par due 09/2023),6.75% (LIBOR + 5.75%/M),9/18/2014,5.5,,,5.5,,(12),,
958,"Moon Valley Nursery of Arizona Retail, LLC, Moon Valley Nursery Farm Holdings, LLC, Moon Valley Nursery RE Holdings LLC, and Stonecourt IV Partners, LP (16)",Operator of retail and wholesale tree and plant nurseries,First lien senior secured loan ($75.9 par due 10/2027),6.75% (LIBOR + 5.75%/Q),10/8/2021,75.9,,,75.2,,(12),,
959,,,First lien senior secured loan ($2.9 par due 10/2027),6.75% (LIBOR + 5.75%/Q),10/8/2021,2.9,,,2.9,,(2)(12),,
960,,,"Limited partnership interests (21,939,151 interests)",,10/8/2021,21.9,,,21.9,,,,
962,"North Haven Falcon Buyer, LLC and North Haven Falcon Holding Company, LLC (16)",Manufacturer of aftermarket golf cart parts and accessories,First lien senior secured loan ($25.5 par due 05/2027),7.00% (LIBOR + 6.00%/Q),5/19/2021,25.5,,,25.2,,(2)(12),,
963,,,"Class A units (50,000 units)",,5/19/2021,5.0,,,4.9,,,,
965,Reddy Ice LLC (16),Packaged ice manufacturer and distributor,First lien senior secured revolving loan ($2.0 par due 07/2024),9.00% (Base Rate + 5.50%/Q),7/1/2019,2.0,,,2.0,,(12)(15),,
967,,,First lien senior secured loan ($13.0 par due 07/2025),7.50% (LIBOR + 6.50%/Q),10/20/2021,13.0,,,13.0,,(2)(12),,
968,,,First lien senior secured loan ($56.4 par due 07/2025),7.50% (LIBOR + 6.50%/Q),7/1/2019,56.4,,,56.4,,(12),,
969,,,First lien senior secured loan ($5.3 par due 07/2025),7.50% (LIBOR + 6.50%/Q),7/1/2019,5.3,,,5.3,,(2)(12),,
970,,,First lien senior secured loan ($4.3 par due 07/2025),7.50% (LIBOR + 6.50%/Q),11/16/2020,4.3,,,4.3,,(2)(12),,
972,"US Salt Investors, LLC and Emerald Lake Pearl Acquisition-A, L.P. (16)","Producer and packager of compressed, household, and packaged salt",First lien senior secured loan ($26.6 par due 07/2028),6.51% (LIBOR + 5.50%/Q),7/19/2021,26.6,,,26.3,,(2)(12),,
973,,,Limited partner interests (0.4% interest),,7/19/2021,0.8,,,0.7,,(2),,
975,,,,,,463.7,,,471.5,,,5.03%,
977,American Seafoods Group LLC and American Seafoods Partners LLC,Harvester and processor of seafood,"Class A units (77,922 units)",,8/19/2015,0.1,,,0.3,,(2),,
978,,,"Warrant to purchase up to 7,422,078 Class A units (expires 8/2035)",,8/19/2015,7.4,,,26.2,,(2),,
980,"Berner Food & Beverage, LLC (16)",Supplier of dairy-based food and beverage products,First lien senior secured revolving loan ($0.8 par due 07/2026),9.00% (Base Rate + 5.50%/S),7/30/2021,0.8,,,0.8,,(2)(12),,
981,"Bragg Live Food Products, LLC and SPC Investment Co., L.P. (4)(16)",Health food company,First lien senior secured revolving loan ($3.5 par due 12/2025),7.25% (LIBOR + 6.25%/Q),3/11/2019,3.5,,,3.3,,(2)(12),,
982,,,First lien senior secured loan ($39.3 par due 12/2025),7.26% (LIBOR + 6.25%/Q),12/28/2020,39.3,,,36.9,,(12),,
983,,,"Common units (14,850 units)",,3/11/2019,11.5,,,9.0,,(2),,
985,CHG PPC Parent LLC & PPC CHG Blocker LLC,Diversified food products manufacturer,Second lien senior secured loan ($94.6 par due 12/2029),7.25% (LIBOR + 6.75%/M),12/8/2021,94.6,,,92.7,,(2)(12),,
986,,,Common units (58.56 units),,12/10/2021,3.0,,,3.0,,(2),,
988,"Florida Food Products, LLC",Provider of plant extracts and juices,First lien senior secured loan ($4.3 par due 10/2028),5.75% (LIBOR + 5.00%/M),10/18/2021,4.3,,,4.3,,(2)(12),,
989,,,Second lien senior secured loan ($71.8 par due 10/2029),8.75% (LIBOR + 8.00%/M),10/18/2021,71.8,,,71.1,,(2)(12),,
991,"Gehl Foods, LLC and GF Parent LLC","Producer of low-acid, aseptic food and beverage products","Class A preferred units (2,940 units)",,5/13/2015,2.9,,,0,,,,
992,,,"Class A common units (60,000 units)",,5/13/2015,0.1,,,0,,,,
993,,,Class B common units (0.26 units),,5/13/2015,0,,,0,,,,
995,Hometown Food Company (16),Food distributor,First lien senior secured revolving loan,,8/31/2018,0,,,0,,(14),,
996,"KC Culinarte Intermediate, LLC",Manufacturer of fresh refrigerated and frozen food products,First lien senior secured loan ($29.0 par due 08/2025),4.75% (LIBOR + 3.75%/M),1/24/2020,28.8,,,27.9,,(12),,
997,,,Second lien senior secured loan ($35.7 par due 08/2026),8.75% (LIBOR + 7.75%/M),8/24/2018,35.7,,,33.2,,(2)(12),,
999,"Manna Pro Products, LLC (16)",Manufacturer and supplier of specialty nutrition and care products for animals,First lien senior secured revolving loan ($2.8 par due 12/2026),7.00% (LIBOR + 6.00%/M),12/10/2020,2.8,,,2.8,,(2)(12),,
1001,"RF HP SCF Investor, LLC",Branded specialty food company,Membership interest (10.08% interest),,12/22/2016,12.5,,,19.4,,(2)(6),,
1002,"Teasdale Foods, Inc. and Familia Group Holdings Inc.","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels",First lien senior secured loan ($78.3 par due 12/2025),"8.00% PIK (LIBOR + 6.60% Cash, 0.40% PIK/Q)",12/18/2020,78.3,,,67.4,,(2)(12),,
1003,,,"Warrant to purchase up to 57,827 shares of common stock (expires 2/2034)",,2/4/2019,0,,,0,,,,
1005,"Triton Water Holdings, Inc.",Producer and provider of bottled water brands,First lien senior secured loan ($1.0 par due 03/2028),4.51% (LIBOR + 3.50%/Q),3/17/2021,1.0,,,1.0,,(2)(12)(19),,
1006,,,Senior subordinated loan ($0.1 par due 04/2029),6.25%,3/17/2021,0.1,,,0.1,,(2)(19),,
1008,"Watermill Express, LLC and Watermill Express Holdings, LLC (16)",Owner and operator of self-service water and ice stations,First lien senior secured loan ($19.4 par due 04/2027),6.50% (LIBOR + 5.50%/Q),4/20/2021,19.4,,,19.4,,(12),,
1009,,,"Class A units (282,200 units)",8.00% PIK,4/20/2021,3.0,,,2.5,,,,
1011,"Winebow Holdings, Inc. and The Vintner Group, Inc.",Importer and distributor of wine,First lien senior secured loan ($28.2 par due 07/2025),7.25% (LIBOR + 6.25%/M),4/19/2021,28.2,,,28.2,,(12),,
1012,,,,,,449.1,,,449.5,,,4.79%,
1014,Aventine Intermediate LLC & Aventine Holdings II LLC (16),Media and production company,First lien senior secured loan ($8.7 par due 06/2027),6.93% (LIBOR + 6.00%/Q),12/22/2021,8.7,,,8.7,,(2)(12),,
1015,,,Senior subordinated loan ($35.6 par due 12/2030),10.25%,12/22/2021,35.6,,,35.3,,(2),,
1017,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),,9/11/2015,0,,,0,,,,
1018,"Global Music Rights, LLC (16)",Music right management company,First lien senior secured loan ($7.9 par due 08/2028),6.76% (LIBOR + 5.75%/Q),8/27/2021,7.9,,,7.9,,(2)(12),,
1019,Miami Beckham United LLC,American professional soccer club,"Class A preferred units (85,000 units)",8.50% PIK,9/17/2021,88.9,,,88.9,,,,
1020,OUTFRONT Media Inc.,Provider of out-of-home advertising,"Series A convertible perpetual preferred stock(25,000 shares)",7.00%,4/20/2020,25.0,,,45.5,,(2)(6),,
1021,Padres L.P. (16),Sports and entertainment,First lien senior secured loan ($92.8 par due 03/2027),6.00% (LIBOR + 5.00%/M),3/18/2021,92.8,,,92.8,,(2)(12),,
1022,"Production Resource Group, L.L.C. and PRG III, LLC (4)(16)","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($0.8 par due 08/2024),"8.50% (Base Rate + 2.50% Cash, 2.50% PIK/Q)",6/22/2021,0.8,,,0.8,,(2)(12),,
1023,,,First lien senior secured loan ($6.5 par due 08/2024),"8.50% (Libor  + 5.00% Cash,  2.50% PIK/Q)",8/5/2021,6.5,,,6.5,,(2)(12),,
1024,,,First lien senior secured loan ($15.1 par due 08/2024),"6.00% (LIBOR +1.88% Cash, 3.12% PIK/Q)",7/31/2020,15.0,,,15.0,,(2)(12),,
1025,,,First lien senior secured loan ($35.8 par due 08/2024),"9.75% (LIBOR + 3.00% Cash, 6.50% PIK/Q)",8/21/2018,35.8,,,35.8,,(2)(12),,
1026,,,"Class A units (113,617 units)",,10/6/2020,4.9,,,2.5,,(2),,
1028,"Professional Fighters League, LLC and PFL MMA, Inc.",Mixed martial arts league,First lien senior secured loan ($15.8 par due 01/2026),10.00% PIK,1/20/2021,14.5,,,14.2,,(2),,
1029,,,"Warrant to purchase up to 3,223,122 shares of common stock (expires 1/2027)",,1/20/2021,1.7,,,1.8,,(2),,
1032,Storm Investment S.a.r.l.,Spanish soccer club,First lien senior secured loan ($68.3 par due 06/2029),3.75% (Euribor + 3.75%/Q),6/24/2021,73.6,,,68.3,,(2)(6),,
1033,,,"Ordinary shares (3,958 shares)",,6/24/2021,0,,,0,,(2)(6),,
1034,,,"Class A redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1035,,,"Class B redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1036,,,"Class C redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1037,,,"Class D redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1038,,,"Class E redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1039,,,"Class F redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1040,,,"Class G redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1041,,,"Class H redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1042,,,"Class I redeemable shares (3,297,791 shares)",,6/24/2021,1.6,,,1.7,,(2)(6),,
1044,"The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (10,663 shares)",,9/29/2006,1.1,,,3.0,,(2),,
1045,,,"Common stock (15,393 shares)",,9/29/2006,0,,,0.8,,(2),,
1047,,,,,,427.2,,,443.1,,,4.72%,
1049,"Abzena Holdings, Inc. and Astro Group Holdings Ltd. (16)","Organization providing discovery, development and manufacturing services to the pharmaceutical and biotechnology industries",First lien senior secured loan ($44.8 par due 05/2026),"11.50% (LIBOR + 4.75% Cash, 5.75% PIK/Q)",5/7/2021,44.8,,,44.8,,(2)(12),,
1050,,,"Class A ordinary shares (1,237,500 shares)",,5/7/2021,2.5,,,2.8,,(2),,
1052,"Alcami Corporation and ACM Holdings I, LLC (16)",Outsourced drug development services provider,First lien senior secured loan ($29.1 par due 7/2025),4.71% (LIBOR + 4.25%/Q),,29.1,,,28.0,,,,
1053,,,Second lien senior secured loan ($77.5 par due 07/2026),8.46% (LIBOR + 8.00%/M),7/12/2018,77.1,,,69.8,,(2),,
1054,,,"Common units (4,347,590 units)",,7/12/2018,41.3,,,23.2,,(2),,
1056,"Amryt Pharmaceuticals, Inc.","Biopharmaceutical company dedicated to acquiring, developing and commercializing novel therapeutics",First lien senior secured loan ($12.7 par due 02/2027),7.80% (SOFR + 6.75%/S),2/18/2022,12.7,,,12.6,,(2)(6)(12),,
1057,"Cobalt Buyer Sub, Inc., Cobalt Holdings I, LP, and Cobalt Intermediate I, Inc. (16)",Provider of biological products to life science and pharmaceutical companies,First lien senior secured revolving loan ($1.5 par due 10/2027),6.00% (LIBOR + 5.25%/M),10/1/2021,1.5,,,1.4,,(2)(12),,
1058,,,First lien senior secured loan ($14.6 par due 10/2028),6.00% (LIBOR + 5.25%/M),10/1/2021,14.6,,,14.4,,(2)(12),,
1059,,,"Series A preferred shares (60,236 shares)",10.75% PIK (LIBOR + 10.00%/Q),10/1/2021,63.5,,,63.5,,(2)(12),,
1060,,,"Preferred units (3,020 units)",8.00% PIK,10/1/2021,3.1,,,0.3,,(2)(12),,
1061,,,"Class A common units (30,500 units)",,10/1/2021,0,,,3.1,,(2),,
1064,"Covaris Intermediate 3, LLC & Covaris Parent, LLC (16)",Provider of advanced pre-analytical sample preparation technologies for life and analytical science,First lien senior secured loan ($23.7 par due 01/2028),6.00% (LIBOR + 5.25%/Q),1/21/2022,23.7,,,23.5,,(2)(12),,
1065,,,"Class A-2 units (4,772 units)",,1/21/2022,4.8,,,4.8,,,,
1067,"NMC Skincare Intermediate Holdings II, LLC (16)","Developer, manufacturer and marketer of skincare products",First lien senior secured revolving loan ($7.3 par due 10/2024),6.00% (LIBOR + 5.00%/Q),10/31/2018,7.3,,,7.3,,(2)(12),,
1068,,,First lien senior secured loan ($32.2 par due 10/2024),6.00% (LIBOR + 5.00%/Q),10/31/2018,32.2,,,32.2,,(12),,
1070,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P. (16)",Contract research organization providing research and development and testing of medical devices,First lien senior secured loan ($0.1 par due 09/2027),6.50% (SOFR + 5.75%/Q),9/13/2021,0.1,,,0.1,,(2)(12),,
1071,,,First lien senior secured loan ($47.8 par due 09/2027),6.50% (SOFR + 5.75%/Q),9/15/2020,47.8,,,47.8,,(12),,
1072,,,First lien senior secured loan ($0.1 par due 09/2027),6.50% (SOFR + 5.75%/Q),9/15/2020,0.1,,,0.1,,(2)(12),,
1073,,,First lien senior secured loan ($4.8 par due 09/2027),6.52% (SOFR + 5.75%/Q),12/29/2020,4.8,,,4.8,,(2)(12),,
1074,,,First lien senior secured loan ($2.6 par due 09/2027),6.50% (SOFR + 5.75%/Q),2/26/2021,2.6,,,2.6,,(12),,
1075,,,"Class A preferred units (13,528 units)",8.00% PIK,9/15/2020,15.2,,,34.2,,(2),,
1077,TerSera Therapeutics LLC (16),Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($5.1 par due 03/2025),6.61% (LIBOR + 5.60%/Q),5/3/2017,5.0,,,5.1,,(12),,
1078,,,First lien senior secured loan ($2.1 par due 03/2025),6.61% (LIBOR + 5.60%/Q),9/27/2018,2.1,,,2.1,,(12),,
1079,,,First lien senior secured loan ($1.8 par due 03/2025),6.61% (LIBOR + 5.60%/Q),4/1/2019,1.8,,,1.8,,(12),,
1081,Vertice Pharma UK Parent Limited,Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",,12/21/2015,0.3,,,0,,(6),,
1082,,,,,,438.0,,,430.3,,,4.59%,
1084,"Balrog Acquisition, Inc., Balrog Topco, Inc. and Balrog Parent, L.P.",Manufacturer and distributor of specialty bakery ingredients,Second lien senior secured loan ($29.5 par due 09/2029),7.50% (LIBOR + 7.00%/Q),9/3/2021,29.5,,,29.5,,(2)(12),,
1085,,,"Class A preferred units (5,484 units)",8.00% PIK,9/3/2021,5.7,,,5.5,,(2),,
1086,,,"Series A preferred shares (21,921 shares)",11.00% PIK,9/3/2021,23.3,,,23.3,,(2),,
1088,"Continental Café, LLC and Infinity Ovation Yacht Charters, LLC (16)",Diversified contract food service provider,First lien senior secured loan ($15.7 par due 11/2027),8.00% (LIBOR + 7.00%/Q),11/30/2021,15.7,,,15.5,,(2)(12),,
1089,"DecoPac, Inc. and KCAKE Holdings Inc. (16)",Supplier of cake decorating solutions and products to in-store bakeries,First lien senior secured revolving loan ($5.2 par due 05/2026),7.00% (LIBOR + 6.00%/M),5/14/2021,5.2,,,5.2,,(2)(12),,
1090,,,First lien senior secured loan ($148.9 par due 05/2028),"9.01% (LIBOR + 6.00% Cash, 2.00% PIK/Q)",5/14/2021,148.9,,,148.9,,(2)(12),,
1091,,,"Common stock (9,599 shares)",,5/14/2021,9.6,,,10.0,,(2),,
1093,"FS Squared Holding Corp. and FS Squared, LLC (16)",Provider of on-site vending and micro market solutions,First lien senior secured revolving loan,,3/28/2019,0,,,0,,(14),,
1094,,,First lien senior secured loan ($0.1 par due 03/2025),5.71% (LIBOR + 5.25%/M),3/28/2019,0.1,,,0.1,,(2),,
1096,,,"Class A units (113,219 units)",,3/28/2019,11.1,,,21.1,,(2),,
1098,"JWC/KI Holdings, LLC",Foodservice sales and marketing agency,"Membership units (5,000 units)",,11/16/2015,5.0,,,6.9,,(2),,
1099,SFE Intermediate Holdco LLC (16),Provider of outsourced foodservice to K-12 school districts,First lien senior secured loan ($10.1 par due 07/2026),5.75% (SOFR + 4.75%/Q),9/5/2018,10.1,,,10.1,,(12),,
1100,,,First lien senior secured loan ($6.3 par due 07/2026),5.75% (SOFR + 4.75%/Q),7/31/2017,6.3,,,6.3,,(12),,
1101,,,First lien senior secured loan ($52.4 par due 07/2026),5.75% (SOFR + 4.75%/M),3/22/2022,52.4,,,52.4,,(2)(12),,
1103,"VCP-EDC Co-Invest, LLC",Distributor of foodservice equipment and supplies,"Membership units (2,970,000 units)",,6/9/2017,2.8,,,3.3,,,,
1104,ZB Holdco LLC & ZB Parent LLC (16),Distributor of Mediterranean food and beverages,First lien senior secured loan ($1.4 par due 02/2028),6.01% (LIBOR + 5.00%/Q),2/9/2022,1.4,,,1.4,,(2)(12),,
1105,,,"Series A units (4,699 units)",,2/9/2022,4.7,,,4.7,,,,
1107,,,,,,331.8,,,344.2,,,3.67%,
1109,"Cheyenne Petroleum Company Limited Partnership, CPC 2001 LLC and Mill Shoals LLC",Private oil exploration and production company,Second lien senior secured loan ($63.1 par due 01/2024),10.01% (LIBOR + 9.00%/Q),7/10/2019,63.1,,,63.1,,(2)(12),,
1110,"Halcon Holdings, LLC (16)","Operator of development, exploration, and production oil company",First lien senior secured loan ($6.5 par due 11/2025),8.01% (LIBOR + 7.00%/Q),11/24/2021,6.4,,,6.5,,(2),,
1111,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC",Exploration and production company,First lien senior secured loan ($2.7 par due 10/2023),11.00% (LIBOR + 9.00%/Q),9/19/2019,2.7,,,2.7,,(2)(12),,
1112,,,First lien senior secured loan ($38.3 par due 10/2023),10.00% (LIBOR + 8.00%/Q),9/19/2019,38.3,,,38.3,,(2)(12),,
1113,,,"Preferred units (21,667 units)",8.00% PIK,10/26/2018,24.9,,,27.4,,,,
1115,Sundance Energy Inc. (4),Oil and gas producer,"Common stock (157,970 shares)",,4/23/2021,69.8,,,64.3,,(2),,
1116,"VPROP Operating, LLC and V SandCo, LLC (5)(16)",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($7.2 par due 11/2024),11.00% PIK (LIBOR + 9.50%/M),11/6/2020,7.2,,,7.2,,(2)(12),,
1117,,,First lien senior secured loan ($5.7 par due 11/2024),11.00% PIK (LIBOR + 9.50%/M),6/12/2020,5.7,,,5.7,,(2)(12),,
1118,,,First lien senior secured loan ($25.8 par due 11/2024),11.00% PIK (LIBOR + 9.50%/M),3/1/2017,25.8,,,25.8,,(2)(12),,
1119,,,"Class A units (347,900 units)",,11/6/2020,32.8,,,38.4,,(2),,
1121,,,,,,276.7,,,279.4,,,2.98%,
1123,ASP-r-pac Acquisition CO LLC and ASP-r-pac Holdings LP (16),Manufacturer and supplier of printed packaging and trimmings,First lien senior secured loan ($6.3 par due 12/2027),6.75% (LIBOR + 6.00%/M),12/29/2021,6.3,,,6.2,,(2)(12),,
1124,,,"Class A units (195,990 units)",,12/29/2021,19.6,,,19.6,,(2),,
1126,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"Warrant to purchase 322,422 shares of Series D preferred stock (expires 3/2023)",,3/28/2013,0,,,0,,,,
1127,"Halex Holdings, Inc. (5)",Manufacturer of flooring installation products,"Common stock (51,853 shares)",,1/3/2017,0,,,0,,,,
1128,"H-Food Holdings, LLC and Matterhorn Parent, LLC",Food contract manufacturer,First lien senior secured loan ($0.1 par due 05/2025),6.00% (LIBOR + 5.00%/Q),12/29/2021,0.1,,,0.1,,(2)(12),,
1130,,,Second lien senior secured loan ($73.0 par due 03/2026),7.46% (LIBOR + 7.00%/M),11/25/2018,73.0,,,71.6,,(2),,
1131,,,"Common units (5,827 units)",,11/25/2018,5.8,,,7.6,,,,
1133,IntraPac International LLC and IntraPac Canada Corporation (16),Manufacturer of diversified packaging solutions and plastic injection molded products,First lien senior secured revolving loan ($6.2 par due 01/2025),6.51% (LIBOR + 5.50%/Q),1/11/2019,6.2,,,6.2,,(2)(6)(12),,
1134,,,First lien senior secured loan ($14.8 par due 01/2026),6.51% (LIBOR + 5.50%/Q),1/11/2019,14.8,,,14.8,,(6)(12),,
1135,,,First lien senior secured loan ($0.1 par due 01/2026),6.51% (LIBOR + 5.50%/Q),6/4/2021,0.1,,,0.1,,(2)(6)(12),,
1137,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (16)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured revolving loan ($0.2 par due 07/2024),5.26% (LIBOR + 4.25%/Q),7/2/2019,0.2,,,0.2,,(2)(6)(12),,
1138,,,First lien senior secured loan ($15.0 par due 07/2026),5.25% (LIBOR + 4.25%/Q),7/2/2019,15.0,,,15.0,,(6)(12),,
1139,,,First lien senior secured loan ($5.0 par due 07/2026),4.50% (Euribor + 4.50%/Q),7/2/2019,5.1,,,5.0,,(2)(6),,
1140,,,First lien senior secured loan ($23.7 par due 07/2026),4.50% (Euribor + 4.50%/Q),8/8/2019,23.9,,,23.7,,(2)(6),,
1141,,,"Class A units (6,762,668 units)",,7/2/2019,6.8,,,6.4,,(2)(6),,
1143,"Novipax Buyer, L.L.C. and Novipax Parent Holding Company, L.L.C.",Developer and manufacturer of absorbent pads for food products,First lien senior secured loan ($23.8 par due 12/2026),6.75% (LIBOR + 5.25%/Q),12/1/2020,23.8,,,23.8,,(12),,
1144,,,"Class A preferred units (4,772 units)",10.00% PIK,12/1/2020,5.2,,,6.7,,(2),,
1145,,,"Class C units (4,772 units)",,12/1/2020,0,,,0,,,,
1147,Plaskolite PPC Intermediate II LLC and Plaskolite PPC Blocker LLC,Manufacturer of specialized acrylic and polycarbonate sheets,First lien senior secured loan ($5.6 par due 12/2025),4.75% (LIBOR + 4.00%/S),12/14/2018,5.3,,,5.6,,(12),,
1148,,,Second lien senior secured loan ($55.0 par due 12/2026),8.00% (LIBOR + 7.00%/Q),12/14/2018,55.0,,,55.0,,(2)(12),,
1149,,,"Co-Invest units (5,969 units)",,12/14/2018,0.6,,,0.9,,(2),,
1151,"SCI PH Parent, Inc.","Industrial container manufacturer, reconditioner and servicer",Series B shares (11 shares),,8/24/2018,1.1,,,1.9,,(2),,
1152,,,,,,267.9,,,270.4,,,2.88%,
1154,Chariot Buyer LLC (16),Provider of smart access solutions across residential and commercial properties,First lien senior secured revolving loan ($3.5 par due 11/2026),3.96% (LIBOR + 3.50%/M),11/3/2021,3.5,,,3.4,,(2),,
1155,,,Second lien senior secured loan ($134.4 par due 11/2029),7.76% (LIBOR + 6.75%/Q),11/3/2021,134.4,,,133.0,,(2)(12),,
1157,"Everspin Technologies, Inc.",Designer and manufacturer of computer memory solutions,"Warrant to purchase up to 18,461 shares of common stock (expires 10/2026)",,10/7/2016,0.4,,,0,,,,
1158,"ITI Holdings, Inc. (16)",Provider of innovative software and equipment for motor vehicle agencies,First lien senior secured loan ($38.4 par due 03/2028),6.25% (SOFR + 5.50%/Q),3/3/2022,38.4,,,38.0,,(2)(12),,
1159,Micromeritics Instrument Corp. (16),Scientific instrument manufacturer,First lien senior secured revolving loan,,12/18/2019,0,,,0,,(14),,
1160,,,First lien senior secured loan ($29.6 par due 12/2025),6.01% (LIBOR + 5.00%/Q),12/18/2019,29.6,,,29.6,,(12),,
