,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,,
905,,,First lien senior secured loan ($0.4 par due 7/2025),7.50% (Libor + 6.50%/Q),11/16/2020,0.4,,,0.4,,(2)(13),,,,
906,,,First lien senior secured loan ($62.2 par due 7/2025),7.50% (Libor + 6.50%/Q),7/1/2019,62.2,,,62.2,,(13),,,,
908,SCIH Salt Holdings Inc. (17),Salt and packaged ice melt manufacturer and distributor,First lien senior secured revolving loan,,3/16/2020,0,,,0,,(2)(20),,,,
909,,,,,,338.6,,,341.2,,,4.22,%,,
911,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),,9/11/2015,0,,,0,,(2),,,,
912,"MMax Investment Partners, Inc. (d/b/a Professional Fighters League) and PFL MMA, Inc.",Mixed martial arts league,First lien senior secured loan ($14.6 par due 1/2026),10.00% PIK,1/20/2021,13.1,,,12.8,,(2),,,,
913,,,"Warrant to purchase up to 3,223,122 shares of common stock (expires 1/2027)",,1/20/2021,1.7,,1.7,(2),,,,,,
915,OUTFRONT Media Inc.,Provider of out-of-home advertising,"Series A convertible perpetual preferred stock(25,000 shares)",7.00%,4/20/2020,25.0,,,42.0,,(2)(6),,,,
916,Padres L.P. (17),Sports and entertainment,First lien senior secured loan ($92.8 par due 3/2027),6.00% (Libor + 5.00%/M),3/18/2021,92.8,,,91.9,,(2)(13),,,,
918,"Production Resource Group, L.L.C. and PRG III, LLC (4)","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($14.8 par due 8/2024),"8.50% (Base rate + 2.50% Cash, 2.50% PIK/Q)",7/31/2020,14.8,,,14.8,,(2)(13),,,,
919,,,First lien senior secured loan ($33.2 par due 8/2024),9.75% PIK (Libor + 8.50%/Q),8/21/2018,33.2,,,33.2,,(2)(13),,,,
920,,,First lien senior secured loan ($0.8 par due 8/2024),"8.50% (Libor + 5.50% Cash, 2.00% PIK/Q)",6/22/2021,0.8,,,0.8,,(2)(13),,,,
921,,,"Class A units (113,617 units)",,10/6/2020,4.9,,,2.6,,(2),,,,
923,Rugby Australia Ltd,Owner and manager of Australian rugby teams,First lien senior secured loan ($0.0 par due 3/2027),7.75% (BBSY + 7.00%/Q),5/21/2021,0,,,0,,(2)(6)(13),,,,
924,Storm Investment S.a.r.l.,Spanish futbol club,First lien senior secured loan ($73.1 par due 6/2030),3.88% (Euribor + 3.75%/Q),6/24/2021,73.6,,,73.1,,(2)(6),,,,
925,,,"Ordinary shares (3,958 shares)",,6/24/2021,0,,,0,,(2)(6),,,,
926,,,"Class A redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
927,,,"Class B redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
928,,,"Class C redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
929,,,"Class D redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
930,,,"Class E redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
931,,,"Class F redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
932,,,"Class G redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
933,,,"Class H redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
934,,,"Class I redeemable shares (3,297,791 shares)",,6/24/2021,1.4,,,1.4,,(2)(6),,,,
936,"The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (10,663 shares)",,9/29/2006,1.1,,,2.7,,(2),,,,
937,,,"Common stock (15,393 shares)",,9/29/2006,0,,,2.0,,(2),,,,
939,,,,,,273.6,,,290.2,,,3.59,%,,
941,"Abzena Holdings, Inc. and Astro Group Holdings Ltd. (17)","Organization providing discovery, development and manufacturing services to the pharmaceutical and biotechnology industries",First lien senior secured loan ($29.6 par due 5/2026),10.50% (Libor + 9.50%/Q),5/7/2021,29.6,,,29.3,,(2)(13),,,,
942,,,"A ordinary shares (1,237,500 shares)",,5/7/2021,2.5,,,2.5,,(2),,,,
944,"Alcami Corporation and ACM Holdings I, LLC (17)",Outsourced drug development services provider,First lien senior secured loan ($29.3 par due 7/2025),4.35% (Libor + 4.25%/M),7/12/2018,29.3,,28.2,,,,,,,
945,,,Second lien senior secured loan ($77.5 par due 7/2026),8.10% (Libor + 8.00%/M),7/12/2018,77.0,,,70.5,,(2),,,,
946,,,"Common units (3,663,533 units)",,7/12/2018,35.0,,,12.7,,(2),,,,
948,"NMC Skincare Intermediate Holdings II, LLC (17)","Developer, manufacturer and marketer of skincare products",First lien senior secured revolving loan ($7.3 par due 10/2024),6.00% (Libor + 5.00%/M),10/31/2018,7.3,,,7.2,,(2)(13),,,,
949,,,First lien senior secured loan ($24.3 par due 10/2024),6.00% (Libor + 5.00%/M),10/31/2018,24.3,,,24.0,,(13),,,,
951,,,First lien senior secured loan ($8.2 par due 10/2024),6.00% (Libor + 5.00%/M),10/31/2018,8.2,,,8.1,,(13),,,,
953,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P. (17)",Contract research organization providing research and development and testing of medical devices,First lien senior secured revolving loan,,9/15/2020,0,,,0,,(2)(15),,,,
954,,,First lien senior secured loan ($48.2 par due 9/2026),7.25% (Libor + 6.25%/Q),9/15/2020,48.2,,,48.2,,(13),,,,
955,,,First lien senior secured loan ($7.8 par due 9/2026),7.25% (Libor + 6.25%/Q),9/15/2020,7.8,,,7.8,,(2)(13),,,,
956,,,First lien senior secured loan ($6.2 par due 9/2026),7.25% (Libor + 6.25%/Q),2/26/2021,6.2,,,6.2,,(13),,,,
957,,,"Class A preferred units (16,271 units)",8.00% PIK,9/15/2020,17.3,,,30.7,,(2),,,,
959,TerSera Therapeutics LLC (17),Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured revolving loan,,11/20/2019,0,,,0,,(2)(15),,,,
960,,,First lien senior secured loan ($5.1 par due 3/2025),6.60% (Libor + 5.60%/Q),5/3/2017,5.1,,,5.1,,(13),,,,
961,,,First lien senior secured loan ($2.1 par due 3/2025),6.60% (Libor + 5.60%/Q),9/27/2018,2.1,,,2.1,,(13),,,,
962,,,First lien senior secured loan ($1.8 par due 3/2025),6.60% (Libor + 5.60%/Q),4/1/2019,1.8,,,1.8,,(13),,,,
964,Vertice Pharma UK Parent Limited,Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",,12/21/2015,0.3,,,0,,(6),,,,
965,,,,,,302.0,,,284.4,,,3.52,%,,
967,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"Warrant to purchase 322,422 shares of Series D preferred stock (expires 3/2023)",,3/28/2013,0,,,0,,(2),,,,
968,"Halex Holdings, Inc. (5)",Manufacturer of flooring installation products,"Common stock (51,853 shares)",,1/3/2017,0,,,0,,,,,,
969,"H-Food Holdings, LLC and Matterhorn Parent, LLC",Food contract manufacturer,Second lien senior secured loan ($73.0 par due 3/2026),7.09% (Libor + 7.00%/M),11/25/2018,73.0,,,73.0,,(2),,,,
970,,,"Common units (5,827 units)",,11/25/2018,5.8,,,6.7,,,,,,
972,IntraPac International LLC and IntraPac Canada Corporation (17),Manufacturer of diversified packaging solutions and plastic injection molded products,First lien senior secured revolving loan ($7.7 par due 1/2025),5.65% (Libor + 5.50%/Q),1/11/2019,7.7,,,7.7,,(2)(6),,,,
973,,,First lien senior secured loan ($18.6 par due 1/2026),5.65% (Libor + 5.50%/Q),6/4/2021,18.6,,,18.6,,(2)(6),,,,
974,,,First lien senior secured loan ($14.9 par due 1/2026),5.65% (Libor + 5.50%/Q),1/11/2019,14.9,,,14.9,,(6),,,,
976,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (17)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured revolving loan ($0.3 par due 7/2024),5.25% (Libor + 4.25%/Q),7/2/2019,0.3,,,0.3,,(2)(6)(13),,,,
977,,,First lien senior secured loan ($15.1 par due 7/2026),5.25% (Libor + 4.25%/Q),7/2/2019,15.1,,,15.1,,(6)(13),,,,
978,,,First lien senior secured loan ($5.4 par due 7/2026),4.50% (Euribor + 4.50%/Q),7/2/2019,5.1,,,5.4,,(2)(6),,,,
979,,,First lien senior secured loan ($25.6 par due 7/2026),4.50% (Euribor + 4.50%/Q),8/8/2019,24.1,,,25.6,,(2)(6),,,,
980,,,"Class A units (6,762,668 units)",,7/2/2019,6.8,,,5.0,,(2)(6),,,,
982,"Novipax Buyer, L.L.C. and Novipax Parent Holding Company, L.L.C.",Developer and manufacturer of absorbent pads for food products,First lien senior secured loan ($24.0 par due 12/2026),6.75% (Libor + 5.75%/Q),12/1/2020,24.0,,,24.0,,(13),,,,
983,,,"Class A preferred units (4,772 units)",10.00% PIK,12/1/2020,4.8,,,4.8,,(2),,,,
985,,,"Class C units (4,772 units)",,12/1/2020,0,,,1.2,,(2),,,,
987,Plaskolite PPC Intermediate II LLC and Plaskolite PPC Blocker LLC,Manufacturer of specialized acrylic and polycarbonate sheets,Second lien senior secured loan ($55.0 par due 12/2026),8.00% (Libor + 7.00%/Q),12/14/2018,55.0,,,55.0,,(2)(13),,,,
988,,,"Co-Invest units (5,969 units)",,12/14/2018,0.6,,,1.2,,(2),,,,
990,"SCI PH Parent, Inc.","Industrial container manufacturer, reconditioner and servicer",Series B shares (11.4764 shares),,8/24/2018,1.1,,,0.6,,(2),,,,
991,"TWH Infrastructure Industries, Inc. (17)",Provider of engineered products used in the trenchless rehabilitation of wastewater infrastructure,First lien senior secured revolving loan ($0.1 par due 4/2025),5.65% (Libor + 5.50%/Q),4/9/2019,0.1,,,0,,(2),,,,
992,,,First lien senior secured loan ($6.5 par due 4/2025),5.65% (Libor + 5.50%/Q),4/9/2019,6.5,,,6.2,,,,,,
994,,,,,,263.5,,,265.3,,,3.28,%,,
996,"DecoPac, Inc. and KCAKE Holdings Inc. (17)",Supplier of cake decorating solutions and products to in-store bakeries,First lien senior secured revolving loan ($3.1 par due 5/2026),7.00% (Libor + 6.00%/M),5/14/2021,3.1,,,3.0,,(2)(13),,,,
997,,,First lien senior secured loan ($147.0 par due 5/2028),7.00% (Libor + 6.00%/Q),5/14/2021,147.0,,,145.5,,(2)(13),,,,
998,,,"Common stock (9,599 shares)",,5/14/2021,9.6,,,9.6,,(2),,,,
1000,"FS Squared Holding Corp. and FS Squared, LLC (17)",Provider of on-site vending and micro market solutions,First lien senior secured revolving loan,,3/28/2019,0,,,0,,(2)(15),,,,
1001,,,First lien senior secured loan ($1.5 par due 3/2025),5.36% (Libor + 5.25%/M),3/28/2019,1.5,,,1.5,,(2),,,,
1002,,,"Class A units (113,219 units)",,3/28/2019,11.1,,,14.3,,(2),,,,
1004,"JWC/KI Holdings, LLC",Foodservice sales and marketing agency,"Membership units (5,000 units)",,11/16/2015,5.0,,,6.4,,(2),,,,
1005,SFE Intermediate Holdco LLC (17),Provider of outsourced foodservice to K-12 school districts,First lien senior secured loan ($10.2 par due 7/2024),6.25% (Libor + 5.25%/Q),9/5/2018,10.2,,,10.2,,(13),,,,
1006,,,First lien senior secured loan ($6.3 par due 7/2024),6.25% (Libor + 5.25%/Q),7/31/2017,6.3,,,6.3,,(13),,,,
1008,"VCP-EDC Co-Invest, LLC",Distributor of foodservice equipment and supplies,"Membership units (2,970,000 units)",,6/9/2017,2.8,,,0,,,,,,
1009,,,,,,196.6,,,196.8,,,2.44,%,,
1011,"Commercial Trailer Leasing, Inc. (17)",Trailer leasing company,First lien senior secured loan ($117.4 par due 1/2026),7.25% (Libor + 6.25%/Q),1/19/2021,117.4,,,116.3,,(2)(13),,,,
1012,,,Second lien senior secured loan ($19.9 par due 1/2027),13.00%,1/19/2021,19.9,,,19.7,,(2),,,,
1014,"Shur-Co Acquisition, Inc. and Shur-Co Holdco, Inc. (17)","Provider of tarp systems and accessories for trucks, trailers, carts, and specialty equipment used in the agriculture, construction and flatbed markets",First lien senior secured revolving loan ($1.0 par due 6/2027),7.00% (Libor + 6.00%/Q),6/30/2021,1.0,,,1.0,,(2)(13),,,,
1015,,,First lien senior secured loan ($27.2 par due 6/2027),7.00% (Libor + 6.00%/Q),6/30/2021,27.2,,,26.9,,(2)(13),,,,
1016,,,"Common stock (7,598,999.99 shares)",,6/30/2021,7.6,,,7.6,,(2),,,,
1018,,,,,,173.1,,,171.5,,,2.12,%,,
1020,"DRB Holdings, LLC (17)",Provider of integrated technology solutions to car wash operators,First lien senior secured loan ($7.4 par due 10/2023),6.50% (Libor + 5.50%/M),12/18/2020,7.4,,,7.4,,(13),,,,
1022,,,First lien senior secured loan ($23.1 par due 10/2023),6.50% (Libor + 5.50%/M),10/6/2017,23.1,,,23.1,,(13),,,,
1024,"Everspin Technologies, Inc.",Designer and manufacturer of computer memory solutions,"Warrant to purchase up to 18,461 shares of common stock (expires 10/2026)",,10/7/2016,0.4,,,0,,(2),,,,
1025,"FL Hawk Intermediate Holdings, Inc. (17)",Provider of variable data labeling for the apparel industry,First lien senior secured loan ($4.0 par due 2/2028),5.75% (Libor + 4.75%/Q),2/22/2021,3.9,,,4.0,,(2)(13),,,,
1026,Micromeritics Instrument Corp. (17),Scientific instrument manufacturer,First lien senior secured revolving loan,,12/18/2019,0,,,0,,(2)(15),,,,
1027,,,First lien senior secured loan ($32.2 par due 12/2025),6.00% (Libor + 5.00%/Q),12/18/2019,32.2,,,31.2,,(13),,,,
1029,"Repairify, Inc. and Repairify Holdings, LLC (17)",Provider of automotive diagnostics scans and solutions,First lien senior secured loan ($20.0 par due 6/2027),6.00% (Libor + 5.00%/Q),6/14/2021,20.0,,,19.8,,(2)(13),,,,
1030,,,"Class A common units (163,820 units)",,6/14/2021,4.9,,,4.9,,(2),,,,
1032,"Wildcat BuyerCo, Inc. and Wildcat Parent, LP (17)",Provider and supplier of electrical components for commercial and industrial applications,First lien senior secured revolving loan,,2/27/2020,0,,,0,,(2)(15),,,,
1033,,,First lien senior secured loan ($18.3 par due 2/2026),6.00% (Libor + 5.00%/Q),2/27/2020,18.3,,,18.3,,(13),,,,
1034,,,"Limited partnership interests (17,655 interests)",,2/27/2020,1.8,,,2.6,,(2),,,,
1036,,,,,,112.0,,,111.3,,,1.38,%,,
1038,Excelligence Holdings Corp.,"Developer, manufacturer and retailer of educational products",First lien senior secured loan ($9.5 par due 4/2023),"8.00% (Libor + 2.50% Cash, 4.50% PIK/Q)",4/17/2017,9.5,,,8.0,,(2)(13),,,,
1039,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (17)","Distributor of instructional products, services and resources",First lien senior secured revolving loan ($5.4 par due 8/2023),5.50% (Libor + 4.75%/Q),8/31/2018,5.4,,,4.9,,(2)(13),,,,
1040,,,First lien senior secured loan ($30.1 par due 8/2023),5.50% (Libor + 4.75%/Q),7/26/2017,30.1,,,27.1,,(2)(13),,,,
1041,,,First lien senior secured loan ($1.1 par due 8/2023),5.50% (Libor + 4.75%/Q),8/31/2018,1.1,,,1.0,,(2)(13),,,,
1042,,,"Series A preferred stock (1,272 shares)",,10/24/2014,0.7,,,1.0,,(2),,,,
1044,"Infilaw Holding, LLC (17)",Operator of for-profit law schools,First lien senior secured revolving loan ($5.0 par due 9/2022),,8/25/2011,4.2,,,0,,(2)(12),,,,
1045,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,First lien senior secured loan ($11.6 par due 10/2022),10.50% (Libor + 9.00%/Q),3/12/2020,11.6,,,11.6,,(2)(13),,,,
1046,,,"Senior preferred series A-1 shares (151,056 shares)",,10/31/2015,98.1,,,19.2,,(2),,,,
1047,,,"Series B preferred stock (348,615 shares)",,8/5/2010,1.0,,,0,,(2),,,,
1048,,,"Series B preferred stock (1,401,385 shares)",,8/5/2010,4.0,,,0,,(2),,,,
1049,,,"Series C preferred stock (517,942 shares)",,6/7/2010,0.1,,,0,,(2),,,,
1050,,,"Series C preferred stock (1,994,644 shares)",,6/7/2010,0.5,,,0,,(2),,,,
1051,,,Common stock (4 shares),,6/7/2010,0,,,0,,(2),,,,
1052,,,Common stock (16 shares),,6/7/2010,0,,,0,,(2),,,,
1054,Primrose Holding Corporation (4),Franchisor of education-based early childhood centers,"Common stock (7,227 shares)",,1/3/2017,4.6,,,18.9,,,,,,
1055,,,,,,170.9,,,91.7,,,1.14,%,,
1058,"Foundation Consumer Brands, LLC",Pharmaceutical holding company of over the counter brands,First lien senior secured loan ($27.0 par due 10/2026),7.38% (Libor + 6.38%/Q),2/12/2021,26.4,,,26.7,,(2)(13),,,,
1059,"Rug Doctor, LLC and RD Holdco Inc. (5)",Manufacturer and marketer of carpet cleaning machines,Second lien senior secured loan ($20.7 par due 5/2023),11.25% PIK (Libor + 9.75%/M),1/3/2017,20.7,,,20.7,,(2)(13),,,,
1060,,,"Common stock (458,596 shares)",,1/3/2017,14.0,,,0,,,,,,
1061,,,"Warrant to purchase up to 56,372 shares of common stock (expires 12/2023)",,1/3/2017,0,,,0,,,,,,
1063,"Walnut Parent, Inc.",Manufacturer of natural solution pest and animal control products,First lien senior secured loan ($14.9 par due 11/2027),6.50% (Libor + 5.50%/M),11/9/2020,14.9,,,14.9,,(13),,,,
1064,,,,,,76.0,,,62.3,,,0.77,%,,
1066,"Emergency Communications Network, LLC (17)",Provider of mission critical emergency mass notification solutions,First lien senior secured loan ($45.3 par due 6/2023),"8.75% (Libor + 2.63% Cash, 5.13% PIK/Q)",6/1/2017,45.2,,,42.6,,(2)(13),,,,
1067,,,,,,45.2,,,42.6,,,0.53,%,,
1069,NECCO Realty Investments LLC (5),Real estate holding company,"Membership units (7,450 units)",,1/3/2017,0,,,0,,,,,,
1070,,,,,,0,,,0,,,0,%,,
1071,Total Investments,,,,,,17096.5,,,,17135.9,,,212.14,%
