803,,"Clearwater Analytics, LLC*",One stop,,L + 6.25%,(a),,7.25%,,10/2025,,"5,995",,,"5,994",,,0.2,,"5,995",,,,,,,
804,,"Clearwater Analytics, LLC+",One stop,,L + 6.25%,(a),,7.25%,,10/2025,,983,,,971,,,0,,983,,,,,,,
805,,"Clearwater Analytics, LLC+(5)",One stop,,L + 6.25%,,,N/A(6),,10/2025,,0,,,(2),,,0,,0,,,,,,,
807,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
808,,Software - (continued),,,,,,,,,,,,,,,,,,,,,,,,,
809,,"Cloudbees, Inc.+",One stop,,L + 9.00%,(a),,9.50% cash/0.50% PIK,,05/2023,,,"4,231",,,,"4,254",,,0.2,%,,"4,231",,,,
810,,"Cloudbees, Inc.",One stop,,L + 9.00%,(a),,9.50% cash/0.50% PIK,,05/2023,,"2,785",,,"2,726",,,0.1,,"2,785",,,,,,,
811,,"Cloudbees, Inc.+",One stop,,L + 9.00%,(a),,9.50% cash/0.50% PIK,,05/2023,,"1,474",,,"1,468",,,0.1,,"1,474",,,,,,,
812,,"Cloudbees, Inc.+",One stop,,L + 8.50%,,,N/A(6),,05/2023,,0,,,0,,,0,,0,,,,,,,
813,,"Confluence Technologies, Inc.*+~^",One stop,,L + 5.50%,(a),,6.50%,,03/2024,,"44,663",,,"44,479",,,1.8,,"44,663",,,,,,,
814,,"Confluence Technologies, Inc.+",One stop,,L + 5.50%,(a),,6.50%,,03/2024,,83,,,82,,,0,,83,,,,,,,
815,,Daxko Acquisition Corporation*#^,One stop,,L + 6.00%,(c),,7.00%,,09/2023,,"25,482",,,"25,541",,,1.0,,"25,482",,,,,,,
816,,Daxko Acquisition Corporation+,One stop,,L + 6.00%,,,N/A(6),,09/2023,,0,,,0,,,0,,0,,,,,,,
817,,"Digital Guardian, Inc.+",One stop,,L + 9.50%,(c),,7.50% cash/3.00% PIK,,06/2023,,"8,932",,,"9,137",,,0.4,,"9,552",,,,,,,
818,,"Digital Guardian, Inc.+",Subordinated debt,,,,,8.00% PIK,,06/2023,,9,,,8,,,0,,9,,,,,,,
819,,"Digital Guardian, Inc.+",One stop,,L + 5.00%,,,N/A(6),,06/2023,,0,,,0,,,0,,2,,,,,,,
820,,Diligent Corporation*#+~^,One stop,,L + 6.25%,(c),,7.25%,,08/2025,,"87,395",,,"87,590",,,3.5,,"87,943",,,,,,,
821,,Diligent Corporation+,One stop,,L + 5.75%,(c),,6.75%,,08/2025,,"6,040",,,"5,983",,,0.2,,"5,972",,,,,,,
822,,Diligent Corporation+,One stop,,L + 6.25%,,,N/A(6),,08/2025,,0,,,0,,,0,,2,,,,,,,
823,,EveryAction Intermediate Holding Corporation+,One stop,,L + 7.00%,(c),,8.00%,,04/2027,,"13,003",,,"12,877",,,0.5,,"12,874",,,,,,,
824,,EveryAction Intermediate Holding Corporation+(5),One stop,,L + 7.00%,,,N/A(6),,04/2027,,0,,,(1),,,0,,(1),,,,,,,
825,,"GS Acquisitionco, Inc.*#+~^",One stop,,L + 5.75%,(c),,6.75%,,05/2024,,"53,636",,,"53,875",,,2.1,,"53,636",,,,,,,
826,,"GS Acquisitionco, Inc.*#",One stop,,L + 5.75%,(c),,6.75%,,05/2024,,"12,658",,,"12,880",,,0.5,,"12,658",,,,,,,
827,,"GS Acquisitionco, Inc.#+",One stop,,L + 5.75%,(c),,6.75%,,05/2024,,"3,262",,,"3,319",,,0.1,,"3,262",,,,,,,
828,,"GS Acquisitionco, Inc.+~",One stop,,L + 5.75%,(c),,6.75%,,05/2024,,"3,009",,,"3,063",,,0.1,,"3,009",,,,,,,
829,,"GS Acquisitionco, Inc.#+",One stop,,L + 5.75%,(c),,6.75%,,05/2024,,"1,885",,,"1,918",,,0.1,,"1,885",,,,,,,
830,,"GS Acquisitionco, Inc.+",One stop,,L + 5.75%,(c)(d),,6.75%,,05/2024,,124,,,122,,,0,,124,,,,,,,
831,,"GS Acquisitionco, Inc.+",One stop,,L + 5.75%,(c),,6.75%,,05/2024,,74,,,74,,,0,,74,,,,,,,
832,,"GS Acquisitionco, Inc.+",One stop,,L + 5.75%,(c)(d),,6.75%,,05/2024,,36,,,36,,,0,,36,,,,,,,
833,,"ICIMS, Inc.+~",One stop,,L + 6.50%,(c),,7.50%,,09/2024,,"14,355",,,"14,585",,,0.6,,"14,355",,,,,,,
834,,"ICIMS, Inc.+~",One stop,,L + 6.50%,(c),,7.50%,,09/2024,,"4,501",,,"4,489",,,0.2,,"4,501",,,,,,,
835,,"ICIMS, Inc.~",One stop,,L + 6.50%,(c),,7.50%,,09/2024,,"2,706",,,"2,684",,,0.1,,"2,706",,,,,,,
836,,"ICIMS, Inc.+",One stop,,L + 6.50%,(c),,7.50%,,09/2024,,88,,,88,,,0,,88,,,,,,,
837,,"Impartner, Inc.",One stop,,L + 9.50%,(c),,9.30% cash/2.00% PIK,,08/2025,,"2,960",,,"2,930",,,0.1,,"3,073",,,,,,,
838,,"Impartner, Inc.+",One stop,,L + 9.50%,(c),,9.30% cash/2.00% PIK,,08/2025,,233,,,232,,,0,,242,,,,,,,
839,,"Impartner, Inc.+(5)",One stop,,L + 7.50%,,,N/A(6),,08/2025,,0,,,(1),,,0,,9,,,,,,,
840,,"Impartner, Inc.+",One stop,,L + 7.50%,,,N/A(6),,08/2025,,0,,,0,,,0,,0,,,,,,,
841,,"Instructure, Inc.~",One stop,,L + 5.50%,(a),,6.50%,,03/2026,,"16,224",,,"15,712",,,0.6,,"16,224",,,,,,,
842,,"Integral Ad Science, Inc.+~",One stop,,L + 5.00%,(c),,6.00%,,07/2024,,"15,951",,,"16,100",,,0.6,,"15,951",,,,,,,
843,,"Integral Ad Science, Inc.+(5)",One stop,,L + 6.00%,,,N/A(6),,07/2023,,0,,,(1),,,0,,0,,,,,,,
844,,"Integration Appliance, Inc.*+~",One stop,,L + 7.25%,(c),,8.25%,,08/2023,,"68,336",,,"68,913",,,2.7,,"68,336",,,,,,,
845,,"Integration Appliance, Inc.+",One stop,,L + 7.25%,(c),,8.25%,,08/2023,,487,,,484,,,0,,487,,,,,,,
846,,"Invoice Cloud, Inc.+",One stop,,L + 6.50%,(c),,4.25% cash/3.25% PIK,,02/2024,,"6,682",,,"6,712",,,0.3,,"6,682",,,,,,,
847,,"Invoice Cloud, Inc.+",One stop,,L + 6.50%,(c),,4.25% cash/3.25% PIK,,02/2024,,"2,241",,,"2,240",,,0.1,,"2,241",,,,,,,
848,,"Invoice Cloud, Inc.+",One stop,,L + 6.00%,,,N/A(6),,02/2024,,0,,,0,,,0,,0,,,,,,,
849,,"Juvare, LLC*",One stop,,L + 5.75%,(c),,6.75%,,10/2026,,"7,526",,,"7,443",,,0.3,,"7,526",,,,,,,
850,,"Juvare, LLC+",One stop,,P + 4.75%,(c)(f),,7.44%,,10/2026,,"1,737",,,"1,718",,,0.1,,"1,737",,,,,,,
851,,"Juvare, LLC+(5)",One stop,,L + 5.75%,,,N/A(6),,04/2026,,0,,,(1),,,0,,0,,,,,,,
853,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
854,,Software - (continued),,,,,,,,,,,,,,,,,,,,,,,,,
855,,Kaseya Traverse Inc+~,One stop,,L + 7.00%,(c),,5.00% cash/3.00% PIK,,05/2025,,,"37,766",,,,"38,525",,,1.5,%,,"37,766",,,,
856,,Kaseya Traverse Inc+,One stop,,L + 7.00%,(c),,5.00% cash/3.00% PIK,,05/2025,,"3,896",,,"3,906",,,0.2,,"3,896",,,,,,,
857,,Kaseya Traverse Inc+,One stop,,L + 7.00%,(c),,5.00% cash/3.00% PIK,,05/2025,,650,,,632,,,0,,650,,,,,,,
858,,Kaseya Traverse Inc+,One stop,,L + 6.50%,(c),,7.50%,,05/2025,,89,,,88,,,0,,87,,,,,,,
859,,"Mindbody, Inc.+~",One stop,,L + 8.50%,(c),,8.00% cash/1.50% PIK,,02/2025,,"49,148",,,"49,800",,,1.9,,"49,148",,,,,,,
860,,"Mindbody, Inc.+(5)",One stop,,L + 8.00%,,,N/A(6),,02/2025,,0,,,(1),,,0,,(4),,,,,,,
861,,"Ministry Brands, LLC+",Senior loan,,L + 4.00%,(a),,5.00%,,12/2022,,"2,717",,,"2,695",,,0.1,,"2,717",,,,,,,
862,,"Ministry Brands, LLC+^",Senior loan,,L + 4.00%,(a),,5.00%,,12/2022,,"1,434",,,"1,445",,,0.1,,"1,434",,,,,,,
863,,"Ministry Brands, LLC+^",Senior loan,,L + 4.00%,(a),,5.00%,,12/2022,,821,,,827,,,0,,821,,,,,,,
864,,"Ministry Brands, LLC+",Senior loan,,L + 4.00%,(a),,5.00%,,12/2022,,374,,,382,,,0,,374,,,,,,,
865,,"mParticle, Inc.+",One stop,,L + 10.25%,(c),,7.50% cash/3.75% PIK,,09/2025,,"4,843",,,"4,775",,,0.2,,"4,789",,,,,,,
866,,"mParticle, Inc.+",One stop,,L + 10.25%,(c),,11.25%,,09/2025,,0,,,0,,,0,,0,,,,,,,
867,,"Namely, Inc.+~",One stop,,L + 7.50%,(c),,8.25% cash/1.25% PIK,,06/2024,,"3,613",,,"3,477",,,0.1,,"3,613",,,,,,,
868,,"Namely, Inc.+",One stop,,L + 7.50%,(c),,8.25% cash/1.25% PIK,,06/2024,,"2,052",,,"1,952",,,0.1,,"2,052",,,,,,,
869,,"Namely, Inc.+",One stop,,L + 7.50%,(a),,8.25% cash/1.25% PIK,,06/2024,,70,,,70,,,0,,70,,,,,,,
870,,Neo Bidco GMBH(8)(9)(13),One stop,,E + 6.00%,,,N/A(6),,12/2027,,0,,,0,,,0,,0,,,,,,,
871,,Neo Bidco GMBH(5)(8)(9)(13),One stop,,E + 6.00%,,,N/A(6),,06/2028,,0,,,0,,,0,,(97),,,,,,,
872,,"Onapsis, Inc., Virtual Forge GMBH and Onapsis GMBH+",One stop,,L + 7.75%,(c),,7.50% cash/1.75% PIK,,10/2024,,"2,168",,,"2,153",,,0.1,,"2,286",,,,,,,
873,,"Onapsis, Inc., Virtual Forge GMBH and Onapsis GMBH+",One stop,,L + 6.00%,,,N/A(6),,10/2024,,0,,,0,,,0,,1,,,,,,,
874,,"Onapsis, Inc., Virtual Forge GMBH and Onapsis GMBH+",One stop,,L + 7.75%,,,N/A(6),,10/2024,,0,,,0,,,0,,4,,,,,,,
875,,"PDI TA Holdings, Inc.",One stop,,L + 4.50%,(c),,5.50%,,10/2024,,"8,537",,,"8,409",,,0.3,,"8,537",,,,,,,
876,,"PDI TA Holdings, Inc.",Second lien,,L + 8.50%,(c),,9.50%,,10/2025,,"3,424",,,"3,355",,,0.1,,"3,424",,,,,,,
877,,"PDI TA Holdings, Inc.",One stop,,L + 4.50%,(d),,5.50%,,10/2024,,699,,,690,,,0,,699,,,,,,,
878,,"PDI TA Holdings, Inc.+(5)",One stop,,L + 4.50%,,,N/A(6),,10/2025,,0,,,(7),,,0,,0,,,,,,,
879,,"PDI TA Holdings, Inc.+(5)",Second lien,,L + 8.50%,,,N/A(6),,10/2025,,0,,,(3),,,0,,0,,,,,,,
880,,"Personify, Inc.*#^",One stop,,L + 5.75%,(c),,6.75%,,09/2024,,"15,098",,,"15,310",,,0.6,,"15,098",,,,,,,
881,,"Personify, Inc.#",One stop,,L + 5.75%,(c),,6.75%,,09/2024,,"8,987",,,"8,910",,,0.4,,"8,987",,,,,,,
882,,"Personify, Inc.+",One stop,,L + 5.75%,,,N/A(6),,09/2024,,0,,,1,,,0,,0,,,,,,,
883,,"Pluralsight, LLC+",One stop,,L + 8.00%,(c),,9.00%,,03/2027,,"12,949",,,"12,825",,,0.5,,"12,820",,,,,,,
884,,"Pluralsight, LLC+(5)",One stop,,L + 8.00%,,,N/A(6),,03/2027,,0,,,(1),,,0,,(1),,,,,,,
885,,Pyramid Healthcare Acquisition Corp.#+,One stop,,L + 5.00%,(c),,6.00%,,05/2027,,"18,604",,,"18,422",,,0.7,,"18,418",,,,,,,
886,,Pyramid Healthcare Acquisition Corp.+(5),One stop,,L + 5.00%,,,N/A(6),,05/2027,,0,,,(2),,,0,,(2),,,,,,,
887,,Pyramid Healthcare Acquisition Corp.+(5),One stop,,L + 5.00%,,,N/A(6),,05/2027,,0,,,(62),,,0,,(64),,,,,,,
888,,"RegEd Aquireco, LLC+^",Senior loan,,L + 4.25%,(a),,5.25%,,12/2024,,"11,329",,,"11,330",,,0.4,,"10,762",,,,,,,
889,,"RegEd Aquireco, LLC+",Senior loan,,L + 4.25%,(a)(f),,5.32%,,12/2024,,131,,,130,,,0,,116,,,,,,,
890,,Rodeo Buyer Company & Absorb Software Inc.+,One stop,,L + 6.25%,(c),,7.25%,,05/2027,,"4,541",,,"4,497",,,0.2,,"4,496",,,,,,,
891,,Rodeo Buyer Company & Absorb Software Inc.+(5),One stop,,L + 6.25%,,,N/A(6),,05/2027,,0,,,(1),,,0,,(1),,,,,,,
892,,"SnapLogic, Inc.",One stop,,L + 8.75%,(c),,5.75% cash/5.50% PIK,,09/2024,,"6,232",,,"6,177",,,0.2,,"6,232",,,,,,,
893,,"SnapLogic, Inc.+",One stop,,L + 8.75%,(c),,5.75% cash/5.50% PIK,,09/2024,,63,,,63,,,0,,63,,,,,,,
894,,"SnapLogic, Inc.+",One stop,,L + 3.25%,,,N/A(6),,09/2024,,0,,,0,,,0,,0,,,,,,,
895,,"Sontatype, Inc.+",One stop,,L + 6.75%,(c),,7.75%,,12/2025,,851,,,844,,,0,,851,,,,,,,
896,,"Sontatype, Inc.+(5)",One stop,,L + 6.75%,,,N/A(6),,12/2025,,0,,,(2),,,0,,0,,,,,,,
897,,Spartan Buyer Acquisition Co.*#~,One stop,,L + 6.50%,(c),,7.50%,,12/2026,,"31,756",,,"31,397",,,1.2,,"31,756",,,,,,,
899,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
900,,Software - (continued),,,,,,,,,,,,,,,,,,,,,,,,,
901,,Spartan Buyer Acquisition Co.+(5),One stop,,L + 6.50%,,,N/A(6),,12/2026,,,0,,,,(3),,,0,%,,0,,,,
902,,Telesoft Holdings LLC^,One stop,,L + 5.75%,(c),,6.75%,,12/2025,,898,,,883,,,0,,898,,,,,,,
903,,Telesoft Holdings LLC+(5),One stop,,L + 5.75%,,,N/A(6),,12/2025,,0,,,(2),,,0,,0,,,,,,,
904,,"TI Intermediate Holdings, LLC+^",Senior loan,,L + 4.50%,(a),,4.60%,,12/2024,,"3,489",,,"3,538",,,0.1,,"3,488",,,,,,,
905,,"TI Intermediate Holdings, LLC+",Senior loan,,L + 4.50%,(a),,5.50%,,12/2024,,922,,,902,,,0,,933,,,,,,,
906,,"TI Intermediate Holdings, LLC+",Senior loan,,L + 4.50%,(a),,4.60%,,12/2024,,14,,,13,,,0,,14,,,,,,,
907,,"TI Intermediate Holdings, LLC+(5)",Senior loan,,L + 4.50%,,,N/A(6),,12/2024,,0,,,(9),,,0,,5,,,,,,,
908,,"Togetherwork Holdings, LLC*#",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"15,444",,,"15,527",,,0.6,,"15,444",,,,,,,
909,,"Togetherwork Holdings, LLC",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"6,981",,,"6,855",,,0.3,,"6,981",,,,,,,
910,,"Togetherwork Holdings, LLC~^",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"1,790",,,"1,838",,,0.1,,"1,790",,,,,,,
911,,"Togetherwork Holdings, LLC#+",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"1,737",,,"1,781",,,0.1,,"1,737",,,,,,,
912,,"Togetherwork Holdings, LLC*#",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"1,693",,,"1,738",,,0.1,,"1,693",,,,,,,
913,,"Togetherwork Holdings, LLC^",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"1,636",,,"1,659",,,0.1,,"1,636",,,,,,,
914,,"Togetherwork Holdings, LLC*^",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"1,576",,,"1,618",,,0.1,,"1,575",,,,,,,
915,,"Togetherwork Holdings, LLC#+",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"1,469",,,"1,506",,,0.1,,"1,469",,,,,,,
916,,"Togetherwork Holdings, LLC*#",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,"1,204",,,"1,216",,,0,,"1,204",,,,,,,
917,,"Togetherwork Holdings, LLC#+",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,663,,,680,,,0,,663,,,,,,,
918,,"Togetherwork Holdings, LLC+",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,459,,,454,,,0,,459,,,,,,,
919,,"Togetherwork Holdings, LLC^",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,444,,,440,,,0,,444,,,,,,,
920,,"Togetherwork Holdings, LLC+",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,104,,,101,,,0,,104,,,,,,,
921,,"Togetherwork Holdings, LLC+",One stop,,L + 6.25%,(a),,7.25%,,03/2024,,70,,,68,,,0,,70,,,,,,,
922,,"Togetherwork Holdings, LLC+",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,64,,,65,,,0,,64,,,,,,,
923,,"Togetherwork Holdings, LLC+~",One stop,,L + 6.25%,(a),,7.25%,,03/2025,,59,,,60,,,0,,59,,,,,,,
924,,"Transact Holdings, Inc.+~",Senior loan,,L + 4.75%,(a),,4.85%,,04/2026,,"3,055",,,"3,093",,,0.1,,"3,040",,,,,,,
925,,"Trintech, Inc.*#^",One stop,,L + 6.00%,(c),,7.00%,,12/2024,,"22,228",,,"22,434",,,0.9,,"22,228",,,,,,,
926,,"Trintech, Inc.#+^",One stop,,L + 6.00%,(c),,7.00%,,12/2024,,"9,216",,,"9,339",,,0.4,,"9,216",,,,,,,
927,,"Trintech, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,12/2024,,100,,,100,,,0,,100,,,,,,,
928,,Vector CS Midco Limited & Cloudsense Ltd.+~(8)(9)(10),One stop,,L + 8.05%,(i),,4.50% cash/3.55% PIK,,05/2024,,"8,083",,,"8,188",,,0.3,,"7,896",,,,,,,
929,,Vector CS Midco Limited & Cloudsense Ltd.+(8)(9)(10),One stop,,L + 8.05%,(i),,4.50% cash/3.55% PIK,,05/2024,,136,,,135,,,0,,130,,,,,,,
930,,"Vendavo, Inc.*#+~",One stop,,L + 6.50%,(a),,7.50%,,10/2022,,"35,098",,,"35,075",,,1.4,,"35,098",,,,,,,
931,,"Vendavo, Inc.+(5)",One stop,,L + 6.50%,,,N/A(6),,10/2022,,0,,,(2),,,0,,0,,,,,,,
932,,"Workforce Software, LLC+~",One stop,,L + 6.50%,(c),,7.50%,,07/2025,,"27,389",,,"27,914",,,1.1,,"27,389",,,,,,,
933,,"Workforce Software, LLC+",One stop,,L + 6.50%,(c),,7.50%,,07/2025,,"4,847",,,"4,800",,,0.2,,"4,847",,,,,,,
934,,"Workforce Software, LLC+(5)",One stop,,L + 6.50%,,,N/A(6),,07/2025,,0,,,(2),,,0,,0,,,,,,,
935,,,,,,,,,,,,"1,114,659",,,"1,114,621",,,43.6,,"1,115,478",,,,,,,
937,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
938,,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,
939,,2nd Ave. LLC,One stop,,L + 6.50%,(d),,7.50%,,09/2025,,,"5,870",,,,"5,798",,,0.2,%,,"5,870",,,,
940,,2nd Ave. LLC+,One stop,,L + 6.50%,,,N/A(6),,09/2025,,0,,,0,,,0,,0,,,,,,,
941,,Batteries Plus Holding Corporation*#,One stop,,L + 6.75%,(a),,7.75%,,07/2022,,"21,921",,,"22,023",,,0.9,,"21,921",,,,,,,
942,,Batteries Plus Holding Corporation+,One stop,,P + 5.75%,(a)(f),,9.00%,,07/2022,,80,,,79,,,0,,80,,,,,,,
943,,"Boot Barn, Inc.#+~",Senior loan,,L + 4.50%,(c),,5.50%,,06/2023,,"7,523",,,"7,618",,,0.3,,"7,523",,,,,,,
944,,Consilio Midco Limited+(8)(14),One stop,,L + 5.75%,(c),,6.75%,,05/2028,,"11,684",,,"11,454",,,0.5,,"11,567",,,,,,,
945,,Consilio Midco Limited+(5)(8)(14),One stop,,L + 5.75%,,,N/A(6),,05/2028,,0,,,(2),,,0,,(1),,,,,,,
946,,Consilio Midco Limited+(5)(8)(14),One stop,,L + 5.75%,,,N/A(6),,05/2028,,0,,,(43),,,0,,(44),,,,,,,
947,,"Cycle Gear, Inc.#+^",One stop,,L + 5.00%,(c),,6.00%,,01/2024,,"19,481",,,"19,753",,,0.8,,"19,481",,,,,,,
948,,Imperial Optical Midco Inc.+~,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,"3,636",,,"3,670",,,0.1,,"3,599",,,,,,,
949,,Imperial Optical Midco Inc.*+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,"2,835",,,"2,820",,,0.1,,"2,806",,,,,,,
950,,Imperial Optical Midco Inc.#+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,"1,927",,,"1,962",,,0.1,,"1,907",,,,,,,
951,,Imperial Optical Midco Inc.#+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,"1,254",,,"1,277",,,0,,"1,242",,,,,,,
952,,Imperial Optical Midco Inc.*+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,"1,142",,,"1,162",,,0,,"1,131",,,,,,,
953,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,455,,,450,,,0,,451,,,,,,,
954,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,452,,,446,,,0,,447,,,,,,,
955,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,419,,,414,,,0,,415,,,,,,,
956,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,415,,,410,,,0,,411,,,,,,,
957,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,391,,,386,,,0,,387,,,,,,,
958,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,357,,,353,,,0,,354,,,,,,,
959,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,331,,,330,,,0,,328,,,,,,,
960,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(c),,7.25%,,08/2023,,288,,,284,,,0,,285,,,,,,,
961,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,276,,,272,,,0,,273,,,,,,,
962,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,273,,,270,,,0,,270,,,,,,,
963,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,241,,,240,,,0,,239,,,,,,,
964,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,198,,,196,,,0,,196,,,,,,,
965,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,196,,,193,,,0,,194,,,,,,,
966,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,194,,,192,,,0,,192,,,,,,,
967,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,191,,,190,,,0,,189,,,,,,,
968,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,181,,,179,,,0,,180,,,,,,,
969,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,170,,,168,,,0,,168,,,,,,,
970,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,167,,,165,,,0,,165,,,,,,,
971,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,163,,,161,,,0,,161,,,,,,,
972,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,161,,,158,,,0,,159,,,,,,,
973,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,155,,,153,,,0,,154,,,,,,,
974,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,140,,,138,,,0,,138,,,,,,,
975,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,134,,,133,,,0,,133,,,,,,,
976,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,130,,,130,,,0,,129,,,,,,,
977,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,129,,,127,,,0,,128,,,,,,,
978,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,115,,,114,,,0,,114,,,,,,,
980,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
981,,Specialty Retail -. (continued),,,,,,,,,,,,,,,,,,,,,,,,,
982,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,,108,,,,106,,,0,%,,107,,,,
983,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,107,,,105,,,0,,105,,,,,,,
984,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,101,,,99,,,0,,100,,,,,,,
985,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,97,,,96,,,0,,96,,,,,,,
986,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,87,,,85,,,0,,85,,,,,,,
987,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,83,,,83,,,0,,83,,,,,,,
988,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,80,,,79,,,0,,79,,,,,,,
989,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,76,,,76,,,0,,76,,,,,,,
990,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(c),,7.25%,,08/2023,,76,,,75,,,0,,76,,,,,,,
991,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,75,,,74,,,0,,74,,,,,,,
992,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,69,,,68,,,0,,68,,,,,,,
993,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,69,,,68,,,0,,68,,,,,,,
994,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,66,,,65,,,0,,65,,,,,,,
995,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,64,,,64,,,0,,64,,,,,,,
996,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,63,,,63,,,0,,63,,,,,,,
997,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,62,,,61,,,0,,61,,,,,,,
